case_id,prototype_id,backbone_variant,density_level,replicate,method,target_count,achieved_count,completed,mechanically_legal,completed_and_legal,candidate_count,recovered_geometry_max_error,runtime_seconds,selected_candidate_ids,mechanical_evaluation_success,internal_unit_crossing_count,cross_unit_crossing_count,ordinary_backbone_nonroot_crossing_count,ordinary_support_crossing_count,periodic_crossing_count,minimum_cross_unit_clearance,minimum_full_unit_clearance_required,clearance_violation_count,flower_region_intrusion_curve_count,backbone_seam_position_gap,backbone_seam_tangent_dot,periodic_seam_violation_count,parallel_cotravel_total,parallel_cotravel_peak,l1_layout_crossing_count,l1_layout_periodic_crossing_count,l1_layout_minimum_clearance,l1_layout_parallel_cotravel_total,l1_layout_parallel_cotravel_peak,l1_count,l2_count,branchunit_count_evaluated,ordinary_total_length,ordinary_mean_length,mean_backbone_excursion,vertical_span,occupied_area_ratio,upper_allocation_ratio,lower_allocation_ratio,hierarchy_l1_only_ratio,hierarchy_single_l2_ratio,hierarchy_opposed_l2_ratio,density_resource_D,root_hist_0,root_hist_1,root_hist_2,root_hist_3,root_hist_4,root_hist_5,root_hist_6,root_hist_7,root_gap_q25,root_gap_q50,root_gap_q75,root_gap_max,root_coverage_qcov,root_concentration
C001,proto_sw_1_1,expanded,simple,1,HardConstraintGreedy,4,4,1,1,1,130,0.0,0.03945489996112883,"[""l1_pool_r005_r_b_k1_q00"", ""l1_pool_r010_r_f_k1_q04"", ""l1_pool_r027_l_b_k1_q03"", ""l1_pool_r030_l_b_k1_q05""]",1,0,0,0,0,0,0.13104192039950888,0.027768053,0,0,0.0,0.9999999999999999,0,0.0,0.0,0,0,0.13104192039950888,0.0,0.0,4,0,4,1.0477762046907548,0.26194405117268876,0.08586903078408882,0.8963041119999999,0.013591922514619883,0.0,1.0,1.0,0.0,0.0,0.213895815,0.0,0.25,0.25,0.0,0.0,0.0,0.25,0.25,0.13636363599999998,0.196969697,0.310606061,0.515151515,0.484848485,0.25
C002,proto_sw_1_1,expanded,simple,2,HardConstraintGreedy,4,4,1,1,1,154,0.0,0.04312639986164868,"[""l1_pool_r002_r_f_k1_q00"", ""l1_pool_r008_r_b_k1_q01"", ""l1_pool_r014_r_b_k1_q00"", ""l1_pool_r030_l_b_k1_q03""]",1,0,0,0,0,0,0.17528059255621956,0.027768053,0,0,0.0,1.0000000000000002,0,0.0,0.0,0,0,0.17528059255621956,0.0,0.0,4,0,4,1.0434810107367802,0.26087025268419506,0.09286680620026559,0.82915432,0.012255573830409356,0.75,0.25,1.0,0.0,0.0,0.132176995,0.25,0.25,0.0,0.25,0.0,0.0,0.0,0.25,0.17424242375,0.1818181815,0.25757575774999997,0.484848485,0.515151515,0.25
C003,proto_sw_1_1,expanded,medium,1,HardConstraintGreedy,5,5,1,1,1,159,0.0,0.04436009982600808,"[""l1_pool_r001_r_f_k1_q03"", ""l1_pool_r005_r_f_k1_q02"", ""l1_pool_r009_r_f_k1_q02"", ""l1_pool_r011_r_f_k1_q03"", ""l1_pool_r027_l_f_k1_q04""]",1,0,0,0,0,0,0.09316324335682637,0.027768053,0,0,0.0,1.0,0,0.0,0.0,0,0,0.09316324335682637,0.0,0.0,5,0,5,1.3202736976790925,0.2640547395358185,0.09410735914696687,0.839296753,0.018154925073099414,0.8,0.2,1.0,0.0,0.0,0.403261203,0.2,0.2,0.4,0.0,0.0,0.0,0.2,0.0,0.12121212099999998,0.121212122,0.212121212,0.48484848500000005,0.5151515149999999,0.4
C004,proto_sw_1_1,expanded,medium,2,HardConstraintGreedy,6,6,1,1,1,156,0.0,0.06417460017837584,"[""l1_pool_r003_r_f_k1_q00"", ""l1_pool_r009_r_b_k1_q02"", ""l1_pool_r013_r_b_k1_q03"", ""l1_pool_r016_r_b_k1_q05"", ""l1_pool_r028_l_b_k1_q00"", ""l1_pool_r030_l_b_k1_q00""]",1,0,0,0,0,0,0.06335038721465232,0.027768053,0,0,0.0,1.0000000000000002,0,0.0,0.0,0,0,0.06335038721465232,0.0,0.0,6,0,6,1.5941627547695698,0.2656937924615949,0.08969399575836005,1.07874097,0.02554481907894737,0.6666666666666666,0.3333333333333333,1.0,0.0,0.0,0.617548861,0.16666666666666666,0.0,0.16666666666666666,0.3333333333333333,0.0,0.0,0.16666666666666666,0.16666666666666666,0.0984848485,0.1515151515,0.181818182,0.363636364,0.636363636,0.3333333333333333
C005,proto_sw_1_1,expanded,rich,1,HardConstraintGreedy,6,6,1,1,1,140,0.0,0.04872479988262057,"[""l1_pool_r003_r_f_k1_q03"", ""l1_pool_r008_r_b_k1_q03"", ""l1_pool_r013_r_b_k1_q01"", ""l1_pool_r015_r_b_k1_q00"", ""l1_pool_r028_l_b_k1_q02"", ""l1_pool_r030_l_b_k1_q03""]",1,0,0,0,0,0,0.049787637303399454,0.027768053,0,0,0.0,1.0000000000000002,0,0.0,0.0,0,0,0.049787637303399454,0.002297763320963764,0.002297763320963764,6,0,6,1.5838498546668058,0.263974975777801,0.08650702271761423,1.0191624989999999,0.024054276315789474,0.6666666666666666,0.3333333333333333,1.0,0.0,0.0,0.84124218,0.16666666666666666,0.16666666666666666,0.0,0.3333333333333333,0.0,0.0,0.16666666666666666,0.16666666666666666,0.0833333335,0.1515151515,0.1742424245,0.39393939400000005,0.606060606,0.3333333333333333
C006,proto_sw_1_1,expanded,rich,2,HardConstraintGreedy,6,6,1,1,1,147,0.0,0.049623999977484345,"[""l1_pool_r006_r_b_k1_q00"", ""l1_pool_r008_r_b_k1_q01"", ""l1_pool_r010_r_f_k1_q01"", ""l1_pool_r014_r_b_k1_q01"", ""l1_pool_r016_r_b_k1_q00"", ""l1_pool_r030_l_b_k1_q04""]",1,0,0,0,0,0,0.035291470427744526,0.027768053,0,0,0.0,1.0,0,0.0,0.0,0,0,0.035291470427744526,0.2934805045363965,0.27019533462653955,6,0,6,1.5774229099960078,0.262903818332668,0.08768269229944219,0.910781453,0.022786458333333332,0.6666666666666666,0.3333333333333333,1.0,0.0,0.0,0.662507641,0.0,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.0,0.0,0.0,0.16666666666666666,0.060606060999999996,0.09090909100000001,0.2348484849999999,0.42424242400000006,0.575757576,0.3333333333333333
C007,proto_sw_1_1,compact,simple,1,HardConstraintGreedy,4,4,1,1,1,135,0.0,0.03470680001191795,"[""l1_pool_r004_r_b_k1_q03"", ""l1_pool_r011_r_b_k1_q05"", ""l1_pool_r013_r_b_k1_q02"", ""l1_pool_r029_l_b_k1_q02""]",1,0,0,0,0,0,0.09423480405419639,0.027768053,0,0,0.0,1.0,0,0.0,0.0,0,0,0.09423480405419639,0.0,0.0,4,0,4,1.070781983619499,0.26769549590487474,0.08555033827270815,0.997760041,0.014562774122807017,0.5,0.5,1.0,0.0,0.0,0.191172421,0.0,0.25,0.0,0.5,0.0,0.0,0.0,0.25,0.17424242425,0.227272727,0.30303030275,0.484848485,0.515151515,0.5
C008,proto_sw_1_1,compact,simple,2,HardConstraintGreedy,4,4,1,1,1,145,0.0,0.044499099953100085,"[""l1_pool_r003_l_f_k1_q03"", ""l1_pool_r012_r_b_k1_q05"", ""l1_pool_r014_r_b_k1_q01"", ""l1_pool_r029_l_b_k1_q00""]",1,0,0,0,0,0,0.09191678824379607,0.027768053,0,0,0.0,1.0,0,0.0,0.0,0,0,0.09191678824379607,0.0,0.0,4,0,4,1.0501278596847574,0.26253196492118935,0.07852206837920205,0.9933827230000001,0.016607273391812866,0.75,0.25,1.0,0.0,0.0,0.162017141,0.25,0.0,0.0,0.5,0.0,0.0,0.0,0.25,0.174242424,0.2424242425,0.3181818185,0.454545455,0.545454545,0.5
C009,proto_sw_1_1,compact,medium,1,HardConstraintGreedy,5,5,1,1,1,118,0.0,0.04822520003654063,"[""l1_pool_r005_r_f_k1_q04"", ""l1_pool_r013_r_b_k1_q05"", ""l1_pool_r015_r_b_k1_q00"", ""l1_pool_r024_r_b_k1_q02"", ""l1_pool_r031_l_b_k1_q01""]",1,0,0,0,0,0,0.0783919995630012,0.027768053,0,0,0.0,0.9999999999999998,0,0.0,0.0,0,0,0.0783919995630012,0.0,0.0,5,0,5,1.3239364644608314,0.2647872928921663,0.07182189174202772,1.074965065,0.020233689692982455,0.8,0.2,1.0,0.0,0.0,0.424709623,0.0,0.2,0.0,0.4,0.0,0.2,0.0,0.2,0.212121212,0.21212121299999998,0.24242424199999998,0.27272727199999997,0.727272728,0.4
C010,proto_sw_1_1,compact,medium,2,HardConstraintGreedy,5,5,1,1,1,116,0.0,0.041377199813723564,"[""l1_pool_r003_r_f_k1_q05"", ""l1_pool_r006_l_b_k1_q00"", ""l1_pool_r010_l_f_k1_q01"", ""l1_pool_r014_r_b_k1_q00"", ""l1_pool_r025_r_b_k1_q05""]",1,0,0,0,0,0,0.09454558637425214,0.027768053,0,0,0.0,1.0000000000000004,0,0.0,0.0,0,0,0.09454558637425214,0.0,0.0,5,0,5,1.334241480635445,0.26684829612708894,0.0651254217930799,1.017038775,0.021050347222222224,0.6,0.4,1.0,0.0,0.0,0.596216953,0.2,0.2,0.2,0.2,0.0,0.0,0.2,0.0,0.121212121,0.121212121,0.3333333329999999,0.33333333400000004,0.666666666,0.2
