case_id,prototype_id,backbone_variant,replicate,density_level,l1_count,ordinary_length,D,target,source_dir,residual
A001,proto_sw_1_1,expanded,1,simple,4,1.054872513316093,0.218283698,0.210553714,../../structural_assets/assets/A001,0.007729983999999995
A002,proto_sw_1_1,expanded,1,medium,6,1.2590614032774747,0.55812989,0.501564534,../../structural_assets/assets/A002,0.05656535600000001
A003,proto_sw_1_1,expanded,1,rich,6,1.495241766533259,0.678317248,0.702405743,../../structural_assets/assets/A003,-0.024088494999999988
A004,proto_sw_1_1,compact,1,simple,4,1.0374280545239254,0.205512643,0.250861419,../../structural_assets/assets/A004,-0.04534877599999998
A005,proto_sw_1_1,compact,1,medium,5,1.2725917391656323,0.418293551,0.438933286,../../structural_assets/assets/A005,-0.020639734999999992
A006,proto_sw_1_1,compact,1,rich,6,1.5348004269943825,0.729391361,0.716619758,../../structural_assets/assets/A006,0.01277160300000002
A007,proto_sw_1_1,swept,1,simple,4,1.0536359316193111,0.148069686,0.157955116,../../structural_assets/assets/A007,-0.00988543
A008,proto_sw_1_1,swept,1,medium,5,1.356765518975393,0.434163835,0.436399381,../../structural_assets/assets/A008,-0.002235545999999977
A009,proto_sw_1_1,swept,1,rich,6,1.6939667860828718,0.664290904,0.67928849,../../structural_assets/assets/A009,-0.014997586000000007
A010,proto_sw_1_1,expanded,2,simple,4,1.0351257531740505,0.245131064,0.243754081,../../structural_assets/assets/A010,0.0013769829999999983
A011,proto_sw_1_1,expanded,2,medium,4,1.0351257531740505,0.245131064,0.446922427,../../structural_assets/assets/A010,-0.201791363
A012,proto_sw_1_1,expanded,2,rich,6,1.4263131751936138,0.748908716,0.694957229,../../structural_assets/assets/A012,0.053951486999999965
A013,proto_sw_1_1,compact,2,simple,4,1.0595008117886429,0.22187524,0.220035779,../../structural_assets/assets/A013,0.0018394610000000144
A014,proto_sw_1_1,compact,2,medium,5,1.303951274347768,0.518698532,0.504036104,../../structural_assets/assets/A014,0.01466242800000006
