prototype_id,backbone_variant,replicate,case_ids,same_resource_domain,l1_count_class,ordinary_length_class,D_class
proto_sw_1_1,expanded,1,A001;A002;A003,1,ties,strict,strict
proto_sw_1_1,compact,1,A004;A005;A006,1,strict,strict,strict
proto_sw_1_1,swept,1,A007;A008;A009,1,strict,strict,strict
proto_sw_1_1,expanded,2,A010;A011;A012,1,ties,ties,ties
proto_sw_1_1,compact,2,A013;A014;A015,1,strict,strict,strict
proto_sw_1_1,swept,2,A016;A017;A018,1,ties,strict,strict
proto_sw_1_1,expanded,3,A019;A020;A021,1,strict,strict,strict
proto_sw_1_1,compact,3,A022;A023;A024,1,strict,reversal,strict
proto_sw_1_1,swept,3,A025;A026;A027,1,strict,strict,strict
proto_sw_1_1,expanded,4,A028;A029;A030,1,ties,strict,strict
proto_sw_1_1,compact,4,A031;A032;A033,1,strict,strict,strict
proto_sw_1_1,swept,4,A034;A035;A036,1,strict,strict,strict
proto_sw_1_1,expanded,5,A037;A038;A039,1,ties,strict,strict
proto_sw_1_1,compact,5,A040;A041;A042,1,strict,strict,strict
proto_sw_1_1,swept,5,A043;A044;A045,1,ties,strict,strict
proto_sw_1_1,expanded,6,A046;A047;A048,1,strict,strict,strict
proto_sw_1_1,compact,6,A049;A050;A051,1,strict,strict,strict
proto_sw_1_1,swept,6,A052;A053;A054,1,ties,strict,strict
proto_sw_1_1,expanded,7,A055;A056;A057,1,ties,strict,strict
proto_sw_1_1,compact,7,A058;A059;A060,1,strict,strict,strict
proto_sw_1_1,swept,7,A061;A062;A063,1,ties,strict,strict
proto_sw_1_1,expanded,8,A064;A065;A066,1,ties,ties,ties
proto_sw_1_1,compact,8,A067;A068;A069,1,strict,strict,strict
proto_sw_1_1,swept,8,A070;A071;A072,1,ties,strict,strict
proto_sw_1_1,expanded,9,A073;A074;A075,1,strict,strict,strict
proto_sw_1_1,compact,9,A076;A077;A078,1,strict,strict,strict
proto_sw_1_1,swept,9,A079;A080;A081,1,strict,reversal,strict
proto_sw_1_1,expanded,10,A082;A083;A084,1,strict,strict,strict
proto_sw_1_1,compact,10,A085;A086;A087,1,strict,strict,strict
proto_sw_1_1,swept,10,A088;A089;A090,1,ties,strict,strict
proto_sw_1_3,expanded,1,A091;A092;A093,1,strict,strict,strict
proto_sw_1_3,compact,1,A094;A095;A096,1,ties,strict,strict
proto_sw_1_3,swept,1,A097;A098;A099,1,ties,strict,strict
proto_sw_1_3,expanded,2,A100;A101;A102,1,strict,strict,strict
proto_sw_1_3,compact,2,A103;A104;A105,1,ties,strict,strict
proto_sw_1_3,swept,2,A106;A107;A108,1,ties,strict,strict
proto_sw_1_3,expanded,3,A109;A110;A111,1,ties,strict,strict
proto_sw_1_3,compact,3,A112;A113;A114,1,ties,ties,ties
proto_sw_1_3,swept,3,A115;A116;A117,1,ties,strict,strict
proto_sw_1_3,expanded,4,A118;A119;A120,1,strict,strict,strict
proto_sw_1_3,compact,4,A121;A122;A123,1,ties,ties,ties
proto_sw_1_3,swept,4,A124;A125;A126,1,strict,strict,strict
proto_sw_1_3,expanded,5,A127;A128;A129,1,strict,strict,strict
proto_sw_1_3,compact,5,A130;A131;A132,1,ties,strict,strict
proto_sw_1_3,swept,5,A133;A134;A135,1,ties,strict,strict
proto_sw_1_3,expanded,6,A136;A137;A138,1,strict,strict,strict
proto_sw_1_3,compact,6,A139;A140;A141,1,ties,strict,strict
proto_sw_1_3,swept,6,A142;A143;A144,1,ties,reversal,strict
proto_sw_1_3,expanded,7,A145;A146;A147,1,strict,strict,strict
proto_sw_1_3,compact,7,A148;A149;A150,1,ties,strict,strict
proto_sw_1_3,swept,7,A151;A152;A153,1,strict,strict,strict
proto_sw_1_3,expanded,8,A154;A155;A156,1,strict,strict,strict
proto_sw_1_3,compact,8,A157;A158;A159,1,ties,reversal,strict
proto_sw_1_3,swept,8,A160;A161;A162,1,ties,strict,strict
proto_sw_1_3,expanded,9,A163;A164;A165,1,ties,strict,strict
proto_sw_1_3,compact,9,A166;A167;A168,1,ties,reversal,strict
proto_sw_1_3,swept,9,A169;A170;A171,1,strict,strict,strict
proto_sw_1_3,expanded,10,A172;A173;A174,1,ties,strict,strict
proto_sw_1_3,compact,10,A175;A176;A177,1,ties,strict,strict
proto_sw_1_3,swept,10,A178;A179;A180,1,ties,strict,strict
proto_sw_2_3,expanded,1,A181;A182;A183,1,ties,strict,strict
proto_sw_2_3,compact,1,A184;A185;A186,1,ties,strict,strict
proto_sw_2_3,swept,1,A187;A188;A189,1,ties,reversal,strict
proto_sw_2_3,expanded,2,A190;A191;A192,1,ties,strict,strict
proto_sw_2_3,compact,2,A193;A194;A195,1,ties,strict,strict
proto_sw_2_3,swept,2,A196;A197;A198,1,ties,strict,strict
proto_sw_2_3,expanded,3,A199;A200;A201,1,strict,reversal,strict
proto_sw_2_3,compact,3,A202;A203;A204,1,ties,strict,strict
proto_sw_2_3,swept,3,A205;A206;A207,1,ties,reversal,strict
proto_sw_2_3,expanded,4,A208;A209;A210,1,ties,strict,strict
proto_sw_2_3,compact,4,A211;A212;A213,1,ties,reversal,strict
proto_sw_2_3,swept,4,A214;A215;A216,1,ties,strict,strict
proto_sw_2_3,expanded,5,A217;A218;A219,1,ties,strict,strict
proto_sw_2_3,compact,5,A220;A221;A222,1,ties,strict,strict
proto_sw_2_3,swept,5,A223;A224;A225,1,ties,strict,strict
proto_sw_2_3,expanded,6,A226;A227;A228,1,ties,strict,strict
proto_sw_2_3,compact,6,A229;A230;A231,1,ties,strict,strict
proto_sw_2_3,swept,6,A232;A233;A234,1,ties,strict,strict
proto_sw_2_3,expanded,7,A235;A236;A237,1,strict,strict,strict
proto_sw_2_3,compact,7,A238;A239;A240,1,ties,strict,strict
proto_sw_2_3,swept,7,A241;A242;A243,1,ties,strict,strict
proto_sw_2_3,expanded,8,A244;A245;A246,1,strict,strict,strict
proto_sw_2_3,compact,8,A247;A248;A249,1,ties,strict,strict
proto_sw_2_3,swept,8,A250;A251;A252,1,ties,strict,strict
proto_sw_2_3,expanded,9,A253;A254;A255,1,ties,strict,strict
proto_sw_2_3,compact,9,A256;A257;A258,1,ties,strict,strict
