case_id,matrix_id,method,prototype_id,backbone_variant,density_level,replicate,production_seed,generation_success,error_type,error_message,ordinary_l1_count,selected_l1_only_count,selected_l2_count,branchunit_count,stage3_runtime_seconds,stage4_runtime_seconds,conflict_graph_runtime_seconds,selection_runtime_seconds,render_runtime_seconds,total_runtime_seconds,l1_candidate_count,branchunit_candidate_count,conflict_edge_count,pair_penalty_count,search_node_count,search_node_limit,search_node_limit_reached,case_dir,mechanical_evaluation_success,internal_unit_crossing_count,cross_unit_crossing_count,ordinary_backbone_nonroot_crossing_count,ordinary_support_crossing_count,periodic_crossing_count,minimum_cross_unit_clearance,minimum_full_unit_clearance_required,clearance_violation_count,flower_region_intrusion_curve_count,backbone_seam_position_gap,backbone_seam_tangent_dot,periodic_seam_violation_count,parallel_cotravel_total,parallel_cotravel_peak,l1_layout_crossing_count,l1_layout_periodic_crossing_count,l1_layout_minimum_clearance,l1_layout_parallel_cotravel_total,l1_layout_parallel_cotravel_peak,l1_count,l2_count,branchunit_count_evaluated,ordinary_total_length,ordinary_mean_length,mean_backbone_excursion,vertical_span,occupied_area_ratio,upper_allocation_ratio,lower_allocation_ratio,hierarchy_l1_only_ratio,hierarchy_single_l2_ratio,hierarchy_opposed_l2_ratio,density_resource_D,root_hist_0,root_hist_1,root_hist_2,root_hist_3,root_hist_4,root_hist_5,root_hist_6,root_hist_7,root_gap_q25,root_gap_q50,root_gap_q75,root_gap_max,root_coverage_qcov,root_concentration,mechanical_evaluation_error,rq_use,backbone_seed,flower_seed,branch_seed,unit_seed,backbone_seed_source,flower_seed_source,branch_seed_source,unit_seed_source,allocation_rule
A001,A,Ours,proto_sw_1_1,expanded,simple,1,200000,1,,,4,3,1,4,7.36043359991163,1.3905631999950856,1.4469826999120414,0.006163000129163265,0.02737409994006157,10.24154830002226,980,100,0,0,175,300000,0,raw_cases/A001,1,0,0,0,0,0,0.14621253416153443,0.027768053,0,0,0.0,0.9999999999999999,0,0.0,0.0,0,0,0.14621253416153443,0.0,0.0,4,1,4,1.054872513316093,0.21097450266321865,0.09713314074805668,0.9787655519999999,0.012672468932748537,0.5,0.5,0.75,0.25,0.0,0.218283698,0.0,0.5,0.25,0.0,0.0,0.0,0.0,0.25,0.13636363675,0.181818182,0.29545454525000003,0.545454545,0.454545455,0.5,,,,,,,,,,,
A002,A,Ours,proto_sw_1_1,expanded,medium,1,200000,1,,,6,4,2,6,7.433112399885431,2.1162375998683274,1.6870087999850512,0.008081299951300025,0.025789299979805946,11.281107499962673,980,150,176,195,241,300000,0,raw_cases/A002,1,0,0,0,0,0,0.053306772333121685,0.027768053,0,0,0.0,0.9999999999999999,0,0.0,0.0,0,0,0.062075140618651534,0.0,0.0,6,2,6,1.2590614032774747,0.15738267540968431,0.06533509671678114,0.717102688,0.012506853070175438,0.5,0.5,0.6666666666666666,0.3333333333333333,0.0,0.55812989,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.0,0.16666666666666666,0.16666666666666666,0.0984848485,0.121212121,0.1439393935,0.424242425,0.575757575,0.16666666666666666,,,,,,,,,,,
A003,A,Ours,proto_sw_1_1,expanded,rich,1,200000,1,,,6,4,2,6,7.394416100112721,2.1291751000098884,0.878228300018236,0.006469500018283725,0.029274299973621964,10.45025709993206,980,150,0,0,220,300000,0,raw_cases/A003,1,0,0,0,0,0,0.14335287828573584,0.027768053,0,0,0.0,0.9999999999999999,0,0.0,0.0,0,0,0.14335287828573584,0.0,0.0,6,2,6,1.495241766533259,0.18690522081665734,0.08331884025999281,0.91728525,0.01698419225146199,0.5,0.5,0.6666666666666666,0.3333333333333333,0.0,0.678317248,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.0,0.16666666666666666,0.16666666666666666,0.121212121,0.121212121,0.12121212174999998,0.393939394,0.606060606,0.16666666666666666,,,,,,,,,,,
A004,A,Ours,proto_sw_1_1,compact,simple,1,200000,1,,,4,3,1,4,6.938120699953288,1.4162008001003414,1.6857694999780506,0.007347899954766035,0.022430300014093518,10.080572299892083,1017,100,0,0,208,300000,0,raw_cases/A004,1,0,0,0,0,0,0.19248178919246647,0.027768053,0,0,0.0,1.0000000000000002,0,0.0,0.0,0,0,0.19248178919246647,0.0,0.0,4,1,4,1.0374280545239254,0.20748561090478507,0.07969308905927693,1.050131147,0.015607867324561403,0.5,0.5,0.75,0.25,0.0,0.205512643,0.0,0.25,0.25,0.25,0.0,0.25,0.0,0.0,0.15909090850000002,0.242424242,0.3333333335,0.424242425,0.575757575,0.25,,,,,,,,,,,
A005,A,Ours,proto_sw_1_1,compact,medium,1,200000,1,,,5,3,2,5,6.644498100038618,1.7021186000201851,2.5380365001037717,0.00376909994520247,0.02107249991968274,10.924370399909094,1017,125,172,165,340,300000,0,raw_cases/A005,1,0,0,0,0,0,0.060901780100789685,0.027768053,0,0,0.0,1.0000000000000002,0,0.0,0.0,0,0,0.08566976936381314,0.0,0.0,5,2,5,1.2725917391656323,0.18179881988080457,0.0806139989825073,0.9779275090000001,0.014368603801169591,0.6,0.4,0.6,0.4,0.0,0.418293551,0.2,0.2,0.2,0.2,0.0,0.2,0.0,0.0,0.121212121,0.121212121,0.303030303,0.333333334,0.666666666,0.2,,,,,,,,,,,
A006,A,Ours,proto_sw_1_1,compact,rich,1,200000,1,,,6,4,2,6,7.095620800042525,2.0210325000807643,3.860677800141275,0.00279999990016222,0.020261900033801794,13.012350299861282,1017,150,172,165,434,300000,0,raw_cases/A006,1,0,0,0,0,0,0.07265899546697703,0.027768053,0,0,0.0,1.0000000000000002,0,0.0,0.0,0,0,0.08566976936381314,0.0,0.0,6,2,6,1.5348004269943825,0.1918500533742978,0.07911387571425219,0.9779275090000001,0.014848318713450293,0.5,0.5,0.6666666666666666,0.3333333333333333,0.0,0.729391361,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666,0.121212121,0.121212121,0.18939393999999998,0.303030303,0.696969697,0.16666666666666666,,,,,,,,,,,
A007,A,Ours,proto_sw_1_1,swept,simple,1,200000,1,,,4,3,1,4,7.357614899985492,1.399128400022164,1.8147554998286068,0.0018128999508917332,0.016812199959531426,10.601387100061402,972,100,0,0,145,300000,0,raw_cases/A007,1,0,0,0,0,0,0.1566646820027948,0.027768053,0,0,0.0,1.0000000000000002,0,0.0,0.0,0,0,0.1566646820027948,0.0,0.0,4,1,4,1.0536359316193111,0.21072718632386223,0.09503873199391218,0.840256067,0.011998583698830409,0.5,0.5,0.75,0.25,0.0,0.148069686,0.0,0.25,0.25,0.25,0.0,0.0,0.0,0.25,0.1439393935,0.196969697,0.3030303035,0.484848485,0.515151515,0.25,,,,,,,,,,,
A008,A,Ours,proto_sw_1_1,swept,medium,1,200000,1,,,5,3,2,5,7.397104799980298,1.724745700135827,1.6010110001079738,0.0029855999164283276,0.019906500121578574,10.756917200051248,972,125,429,415,249,300000,0,raw_cases/A008,1,0,0,0,0,0,0.040230453066107334,0.027768053,0,0,0.0,1.0000000000000002,0,0.0,0.0,0,0,0.04021698235642111,0.35646087243679564,0.24246583536581118,5,2,5,1.356765518975393,0.1938236455679133,0.08369565254739271,0.9784253869999999,0.01722404970760234,0.6,0.4,0.6,0.4,0.0,0.434163835,0.2,0.2,0.4,0.0,0.0,0.2,0.0,0.0,0.090909091,0.121212121,0.333333333,0.363636364,0.636363636,0.4,,,,,,,,,,,
A009,A,Ours,proto_sw_1_1,swept,rich,1,200000,1,,,6,4,3,6,7.402828800026327,2.118307900149375,2.0856258999556303,0.0027401999104768038,0.019569299882277846,11.641515400027856,972,150,187,177,392,300000,0,raw_cases/A009,1,0,0,0,0,0,0.06548381687440534,0.027768053,0,0,0.0,1.0000000000000002,0,0.0,0.0,0,0,0.06541734620978222,0.0,0.0,6,3,6,1.6939667860828718,0.18821853178698575,0.08795413778086773,0.8966909299999999,0.0177437408625731,0.5,0.5,0.6666666666666666,0.16666666666666666,0.16666666666666666,0.664290904,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666,0.121212121,0.1363636365,0.196969697,0.272727273,0.727272727,0.16666666666666666,,,,,,,,,,,
A010,A,Ours,proto_sw_1_1,expanded,simple,2,200001,1,,,4,3,1,4,8.943550599971786,1.3962419000454247,0.6450016000308096,0.0022233000490814447,0.015664099948480725,11.013116299873218,999,100,0,0,142,300000,0,raw_cases/A010,1,0,0,0,0,0,0.1985994162969509,0.027768053,0,0,0.0,1.0,0,0.0,0.0,0,0,0.1985994162969509,0.0,0.0,4,1,4,1.0351257531740505,0.2070251506348101,0.10439657287498336,0.8830286310000001,0.011970029239766082,0.5,0.5,0.75,0.25,0.0,0.245131064,0.25,0.25,0.0,0.25,0.0,0.0,0.0,0.25,0.15151515175,0.151515152,0.25000000025,0.5454545449999999,0.4545454550000001,0.25,,,,,,,,,,,
