triplet_id,prototype_id,backbone_variant,production_seed,replicate,all_three_generation_completed,all_three_independently_evaluated,all_three_mechanically_legal,all_targets_consumed_exactly,simple_case_id,simple_generation_completed,simple_mechanically_legal,simple_target_l1_count,simple_actual_l1_count,simple_target_l2_count,simple_actual_l2_count,simple_normalized_ordinary_branch_length,simple_occupied_area_ratio,medium_case_id,medium_generation_completed,medium_mechanically_legal,medium_target_l1_count,medium_actual_l1_count,medium_target_l2_count,medium_actual_l2_count,medium_normalized_ordinary_branch_length,medium_occupied_area_ratio,rich_case_id,rich_generation_completed,rich_mechanically_legal,rich_target_l1_count,rich_actual_l1_count,rich_target_l2_count,rich_actual_l2_count,rich_normalized_ordinary_branch_length,rich_occupied_area_ratio,l1_strict_monotonic,l1_nondecreasing,l1_response_pattern,delta_l1_sm,delta_l1_mr,delta_l1_sr,l1_slope_sr_per_level,l2_strict_monotonic,l2_nondecreasing,l2_response_pattern,delta_l2_sm,delta_l2_mr,delta_l2_sr,l2_slope_sr_per_level,length_strict_monotonic,length_nondecreasing,length_response_pattern,delta_length_sm,delta_length_mr,delta_length_sr,length_slope_sr_per_level,occupancy_strict_monotonic,occupancy_nondecreasing,occupancy_response_pattern,delta_occupancy_sm,delta_occupancy_mr,delta_occupancy_sr,occupancy_slope_sr_per_level
E10V2_proto_sw_1_1_expanded_200000,proto_sw_1_1,expanded,200000,1,1,1,1,1,E10V2_A001,1,1,5,3,1,1,0.7040306368950586,0.008235105994152047,E10V2_A002,1,1,7,5,3,3,1.5719075497701467,0.01657300804093567,E10V2_A003,1,1,9,7,5,5,2.513530529667235,0.025282118055555556,1,1,strictly_increasing,2.0,2.0,4.0,2.0,1,1,strictly_increasing,2.0,2.0,4.0,2.0,1,1,strictly_increasing,0.8678769128750881,0.9416229798970881,1.8094998927721762,0.9047499463860881,1,1,strictly_increasing,0.008337902046783625,0.008709110014619884,0.017047012061403508,0.008523506030701754
E10V2_proto_sw_1_1_expanded_200001,proto_sw_1_1,expanded,200001,2,1,1,1,1,E10V2_A010,1,1,5,3,1,1,0.7799238333330153,0.008657711988304093,E10V2_A011,1,1,7,5,3,3,1.289085874770199,0.014282940423976608,E10V2_A012,1,1,9,7,5,5,2.038276187600966,0.02664702119883041,1,1,strictly_increasing,2.0,2.0,4.0,2.0,1,1,strictly_increasing,2.0,2.0,4.0,2.0,1,1,strictly_increasing,0.5091620414371837,0.7491903128307671,1.258352354267951,0.6291761771339754,1,1,strictly_increasing,0.005625228435672515,0.012364080774853802,0.017989309210526317,0.008994654605263159
E10V2_proto_sw_1_1_expanded_200002,proto_sw_1_1,expanded,200002,3,1,1,1,1,E10V2_A019,1,1,5,3,1,1,0.7651667584458738,0.008954678362573099,E10V2_A020,1,1,7,5,3,3,1.529787585773154,0.019382766812865496,E10V2_A021,1,1,9,7,5,5,2.073698246182416,0.02882858187134503,1,1,strictly_increasing,2.0,2.0,4.0,2.0,1,1,strictly_increasing,2.0,2.0,4.0,2.0,1,1,strictly_increasing,0.7646208273272802,0.5439106604092621,1.3085314877365422,0.6542657438682711,1,1,strictly_increasing,0.010428088450292397,0.009445815058479533,0.019873903508771933,0.009936951754385966
E10V2_proto_sw_1_1_expanded_200003,proto_sw_1_1,expanded,200003,4,1,1,1,1,E10V2_A028,1,1,5,3,1,1,0.7831116458146496,0.0055795413011695905,E10V2_A029,1,1,7,5,3,3,1.5597830484200905,0.020816200657894735,E10V2_A030,1,1,9,7,5,5,2.600557700496729,0.027246664839181287,1,1,strictly_increasing,2.0,2.0,4.0,2.0,1,1,strictly_increasing,2.0,2.0,4.0,2.0,1,1,strictly_increasing,0.7766714026054409,1.0407746520766383,1.8174460546820792,0.9087230273410396,1,1,strictly_increasing,0.015236659356725146,0.006430464181286552,0.021667123538011698,0.010833561769005849
E10V2_proto_sw_1_1_expanded_200004,proto_sw_1_1,expanded,200004,5,1,1,1,1,E10V2_A037,1,1,5,3,1,1,0.7750542888594135,0.009628563596491228,E10V2_A038,1,1,7,5,3,3,1.5746670586399103,0.01845189144736842,E10V2_A039,1,1,9,7,5,5,2.4482518557899153,0.027360882675438597,1,1,strictly_increasing,2.0,2.0,4.0,2.0,1,1,strictly_increasing,2.0,2.0,4.0,2.0,1,1,strictly_increasing,0.7996127697804968,0.873584797150005,1.6731975669305017,0.8365987834652509,1,1,strictly_increasing,0.008823327850877194,0.008908991228070175,0.01773231907894737,0.008866159539473685
E10V2_proto_sw_1_1_expanded_200005,proto_sw_1_1,expanded,200005,6,1,1,1,1,E10V2_A046,1,1,5,3,1,1,0.7793384594544188,0.007795367324561404,E10V2_A047,1,1,7,5,3,3,1.5830751327950587,0.020199424342105265,E10V2_A048,1,1,9,7,5,5,2.335440801388263,0.026675575657894735,1,1,strictly_increasing,2.0,2.0,4.0,2.0,1,1,strictly_increasing,2.0,2.0,4.0,2.0,1,1,strictly_increasing,0.8037366733406399,0.7523656685932043,1.5561023419338442,0.7780511709669221,1,1,strictly_increasing,0.012404057017543862,0.00647615131578947,0.018880208333333332,0.009440104166666666
E10V2_proto_sw_1_1_expanded_200006,proto_sw_1_1,expanded,200006,7,1,1,1,1,E10V2_A055,1,1,5,3,1,1,0.7723826132151389,0.009108872441520468,E10V2_A056,1,1,7,5,3,3,1.546723461310787,0.020136604532163743,E10V2_A057,1,1,9,7,5,5,2.2797759303218665,0.029239766081871343,1,1,strictly_increasing,2.0,2.0,4.0,2.0,1,1,strictly_increasing,2.0,2.0,4.0,2.0,1,1,strictly_increasing,0.7743408480956481,0.7330524690110796,1.5073933171067275,0.7536966585533638,1,1,strictly_increasing,0.011027732090643274,0.0091031615497076,0.020130893640350873,0.010065446820175437
E10V2_proto_sw_1_1_expanded_200007,proto_sw_1_1,expanded,200007,8,1,1,1,1,E10V2_A064,1,1,5,3,1,1,0.7670665358611813,0.009691383406432748,E10V2_A065,1,1,7,5,3,3,1.6518205416839096,0.019902457967836257,E10V2_A066,1,1,9,7,5,5,2.1929892049855937,0.02761216191520468,1,1,strictly_increasing,2.0,2.0,4.0,2.0,1,1,strictly_increasing,2.0,2.0,4.0,2.0,1,1,strictly_increasing,0.8847540058227282,0.5411686633016841,1.4259226691244122,0.7129613345622061,1,1,strictly_increasing,0.01021107456140351,0.007709703947368422,0.017920778508771933,0.008960389254385966
E10V2_proto_sw_1_1_expanded_200008,proto_sw_1_1,expanded,200008,9,1,1,1,1,E10V2_A073,1,1,5,3,1,1,0.7772671535851292,0.008931834795321638,E10V2_A074,1,1,7,5,3,3,1.4129763382209832,0.016761467470760235,E10V2_A075,1,1,9,7,5,5,2.624258603752947,0.03728641264619883,1,1,strictly_increasing,2.0,2.0,4.0,2.0,1,1,strictly_increasing,2.0,2.0,4.0,2.0,1,1,strictly_increasing,0.635709184635854,1.2112822655319637,1.8469914501678177,0.9234957250839089,1,1,strictly_increasing,0.007829632675438597,0.020524945175438594,0.02835457785087719,0.014177288925438595
E10V2_proto_sw_1_1_expanded_200009,proto_sw_1_1,expanded,200009,10,1,1,1,1,E10V2_A082,1,1,5,3,1,1,0.7078804731496945,0.01136467470760234,E10V2_A083,1,1,7,5,3,3,1.2604085438380752,0.018874497441520467,E10V2_A084,1,1,9,7,5,5,2.2879590459501227,0.038360060307017545,1,1,strictly_increasing,2.0,2.0,4.0,2.0,1,1,strictly_increasing,2.0,2.0,4.0,2.0,1,1,strictly_increasing,0.5525280706883807,1.0275505021120475,1.5800785728004283,0.7900392864002141,1,1,strictly_increasing,0.007509822733918127,0.019485562865497078,0.026995385599415205,0.013497692799707603
E10V2_proto_sw_1_1_compact_200000,proto_sw_1_1,compact,200000,1,1,1,1,1,E10V2_A004,1,1,5,3,1,1,0.7751397523979124,0.010907803362573099,E10V2_A005,1,1,7,5,3,3,1.326890458375282,0.015150995979532164,E10V2_A006,1,1,9,7,5,5,2.2753925717870214,0.026909722222222224,1,1,strictly_increasing,2.0,2.0,4.0,2.0,1,1,strictly_increasing,2.0,2.0,4.0,2.0,1,1,strictly_increasing,0.5517507059773696,0.9485021134117393,1.500252819389109,0.7501264096945545,1,1,strictly_increasing,0.004243192616959065,0.01175872624269006,0.016001918859649127,0.008000959429824563
E10V2_proto_sw_1_1_compact_200001,proto_sw_1_1,compact,200001,2,1,1,1,1,E10V2_A013,1,1,5,3,1,1,0.7736955625973215,0.009126005116959063,E10V2_A014,1,1,7,5,3,3,1.5461710797809847,0.0203421966374269,E10V2_A015,1,1,9,7,5,5,2.3549753639957105,0.03023346125730994,1,1,strictly_increasing,2.0,2.0,4.0,2.0,1,1,strictly_increasing,2.0,2.0,4.0,2.0,1,1,strictly_increasing,0.7724755171836631,0.8088042842147258,1.5812798013983889,0.7906399006991944,1,1,strictly_increasing,0.011216191520467836,0.009891264619883041,0.021107456140350877,0.010553728070175438
E10V2_proto_sw_1_1_compact_200002,proto_sw_1_1,compact,200002,3,1,1,1,1,E10V2_A022,1,1,5,3,1,1,0.772174772338435,0.013711851242690058,E10V2_A023,1,1,7,5,3,3,1.6279862270826488,0.02233529788011696,E10V2_A024,1,1,9,7,5,5,2.2326912874697262,0.0320609466374269,1,1,strictly_increasing,2.0,2.0,4.0,2.0,1,1,strictly_increasing,2.0,2.0,4.0,2.0,1,1,strictly_increasing,0.8558114547442138,0.6047050603870774,1.460516515131291,0.7302582575656456,1,1,strictly_increasing,0.008623446637426901,0.009725648757309944,0.018349095394736843,0.009174547697368422
E10V2_proto_sw_1_1_compact_200003,proto_sw_1_1,compact,200003,4,1,1,1,1,E10V2_A031,1,1,5,3,1,1,0.7832235036107872,0.01390031067251462,E10V2_A032,1,1,7,5,3,3,1.566517027760505,0.02350031980994152,E10V2_A033,1,1,9,7,5,5,2.5029094028777816,0.02678979349415205,1,1,strictly_increasing,2.0,2.0,4.0,2.0,1,1,strictly_increasing,2.0,2.0,4.0,2.0,1,1,strictly_increasing,0.7832935241497178,0.9363923751172767,1.7196858992669943,0.8598429496334972,1,1,strictly_increasing,0.0096000091374269,0.0032894736842105296,0.012889482821637429,0.0064447414108187145
E10V2_proto_sw_1_1_compact_200004,proto_sw_1_1,compact,200004,5,1,1,1,1,E10V2_A040,1,1,5,3,1,1,0.7759521930940566,0.013831779970760233,E10V2_A041,1,1,7,5,3,3,1.3976085321859375,0.022723638523391813,E10V2_A042,1,1,9,7,5,5,2.1947154916395237,0.02985083150584795,1,1,strictly_increasing,2.0,2.0,4.0,2.0,1,1,strictly_increasing,2.0,2.0,4.0,2.0,1,1,strictly_increasing,0.6216563390918809,0.7971069594535862,1.4187632985454672,0.7093816492727336,1,1,strictly_increasing,0.00889185855263158,0.007127192982456138,0.016019051535087717,0.008009525767543858
