case_id,prototype,production_seed,prior_width_scale,generation_success,geometry_valid,l1_count,l2_count,ordinary_total_length,root_coverage_qcov,total_runtime_seconds,failed_phase,error_message
SW1-A_seed20260923_width1.0,SW1-A,20260923,1.0,1,True,5,2,1.2960182495733454,0.515151515,8.564299199992092,,
SW1-A_seed20260923_width0.8,SW1-A,20260923,0.8,1,True,6,2,1.3920958692171925,0.515151515,11.670721999995294,,
SW1-A_seed20260923_width1.2,SW1-A,20260923,1.2,1,True,5,2,1.2305455816826012,0.484848485,6.903533500008052,,
SW1-A_seed20260924_width1.0,SW1-A,20260924,1.0,1,True,6,1,1.429297472281604,0.5454545449999999,9.010644499998307,,
SW1-A_seed20260924_width0.8,SW1-A,20260924,0.8,1,True,6,1,1.4112961877123429,0.636363636,12.904440899990732,,
SW1-A_seed20260924_width1.2,SW1-A,20260924,1.2,1,True,5,1,1.171286034643718,0.515151515,6.344560400000773,,
SW1-A_seed20260925_width1.0,SW1-A,20260925,1.0,1,True,5,1,1.172533699060467,0.4848484849999999,8.330700100006652,,
SW1-A_seed20260925_width0.8,SW1-A,20260925,0.8,1,True,6,1,1.2806258467512939,0.5151515149999999,13.171063799993135,,
SW1-A_seed20260925_width1.2,SW1-A,20260925,1.2,1,True,6,1,1.3106934150793752,0.5454545449999999,8.34634940000251,,
SW1-B_seed20260923_width1.0,SW1-B,20260923,1.0,1,True,5,2,1.4024547518475339,0.484848485,19.94739539999864,,
SW1-B_seed20260923_width0.8,SW1-B,20260923,0.8,1,True,5,2,1.1243410735531703,0.454545454,26.244475800005603,,
SW1-B_seed20260923_width1.2,SW1-B,20260923,1.2,1,True,5,2,1.1412123219081047,0.484848485,15.754719200005638,,
SW1-B_seed20260924_width1.0,SW1-B,20260924,1.0,1,True,5,1,1.0492755770568698,0.484848485,18.440153399991686,,
SW1-B_seed20260924_width0.8,SW1-B,20260924,0.8,1,True,5,1,1.0465739074314369,0.484848485,24.708560999992187,,
SW1-B_seed20260924_width1.2,SW1-B,20260924,1.2,1,True,5,1,1.085017871561153,0.515151515,14.779899800007115,,
