prototype,seed,scale,baseline_case_id,case_id,both_generated,l1_count_baseline,l1_count_perturbed,l1_count_delta,l2_count_baseline,l2_count_perturbed,l2_count_delta,ordinary_total_length_baseline,ordinary_total_length_perturbed,ordinary_total_length_delta,root_coverage_qcov_baseline,root_coverage_qcov_perturbed,root_coverage_qcov_delta,length_relative_change_percent,branch_count_delta,flower_vine_inputs_unchanged,selected_geometry_changed
SW1-A,20260923,0.8,SW1-A_seed20260923_width1.0,SW1-A_seed20260923_width0.8,True,5,6,1,2,2,0,1.2960182495733454,1.3920958692171925,0.09607761964384709,0.515151515,0.515151515,0.0,7.413292187473153,1,True,True
SW1-A,20260923,1.2,SW1-A_seed20260923_width1.0,SW1-A_seed20260923_width1.2,True,5,5,0,2,2,0,1.2960182495733454,1.2305455816826012,-0.06547266789074424,0.515151515,0.484848485,-0.03030303000000001,-5.0518322494531365,0,True,True
SW1-A,20260924,0.8,SW1-A_seed20260924_width1.0,SW1-A_seed20260924_width0.8,True,6,6,0,1,1,0,1.429297472281604,1.4112961877123429,-0.0180012845692612,0.5454545449999999,0.636363636,0.09090909100000011,-1.2594498289096867,0,True,True
SW1-A,20260924,1.2,SW1-A_seed20260924_width1.0,SW1-A_seed20260924_width1.2,True,6,5,-1,1,1,0,1.429297472281604,1.171286034643718,-0.25801143763788614,0.5454545449999999,0.515151515,-0.030303029999999898,-18.05162624586606,-1,True,True
SW1-A,20260925,0.8,SW1-A_seed20260925_width1.0,SW1-A_seed20260925_width0.8,True,5,6,1,1,1,0,1.172533699060467,1.2806258467512939,0.10809214769082698,0.4848484849999999,0.5151515149999999,0.03030303000000001,9.21868154215435,1,True,True
SW1-A,20260925,1.2,SW1-A_seed20260925_width1.0,SW1-A_seed20260925_width1.2,True,5,6,1,1,1,0,1.172533699060467,1.3106934150793752,0.1381597160189083,0.4848484849999999,0.5454545449999999,0.06060606000000002,11.783005992033612,1,True,True
SW1-B,20260923,0.8,SW1-B_seed20260923_width1.0,SW1-B_seed20260923_width0.8,True,5,5,0,2,2,0,1.4024547518475339,1.1243410735531703,-0.2781136782943636,0.484848485,0.454545454,-0.03030303099999998,-19.830492065999884,0,True,True
SW1-B,20260923,1.2,SW1-B_seed20260923_width1.0,SW1-B_seed20260923_width1.2,True,5,5,0,2,2,0,1.4024547518475339,1.1412123219081047,-0.26124242993942914,0.484848485,0.484848485,0.0,-18.6275121956897,0,True,True
SW1-B,20260924,0.8,SW1-B_seed20260924_width1.0,SW1-B_seed20260924_width0.8,True,5,5,0,1,1,0,1.0492755770568698,1.0465739074314369,-0.0027016696254329453,0.484848485,0.484848485,0.0,-0.25747951105570266,0,True,True
SW1-B,20260924,1.2,SW1-B_seed20260924_width1.0,SW1-B_seed20260924_width1.2,True,5,5,0,1,1,0,1.0492755770568698,1.085017871561153,0.03574229450428312,0.484848485,0.515151515,0.03030303000000001,3.4063781989987163,0,True,True
SW1-B,20260925,0.8,SW1-B_seed20260925_width1.0,SW1-B_seed20260925_width0.8,True,5,5,0,2,1,-1,1.1985452842877216,1.0562165182843228,-0.14232876600339872,0.666666666,0.636363636,-0.03030303000000001,-11.87512627760099,-1,True,True
SW1-B,20260925,1.2,SW1-B_seed20260925_width1.0,SW1-B_seed20260925_width1.2,True,5,6,1,2,1,-1,1.1985452842877216,1.1278892763622155,-0.07065600792550608,0.666666666,0.666666666,0.0,-5.895147129755385,0,True,True
SW1-C,20260923,0.8,SW1-C_seed20260923_width1.0,SW1-C_seed20260923_width0.8,True,6,6,0,2,3,1,1.3323536919638768,1.6621549384949008,0.32980124653102405,0.666666667,0.7272727270000001,0.06060606000000013,24.75328049302736,1,True,True
