prototype,scale,planned,generated,geometry_valid,l1_count_n,l1_count_mean,l1_count_median,l1_count_min,l1_count_max,l1_count_q25,l1_count_q75,l2_count_n,l2_count_mean,l2_count_median,l2_count_min,l2_count_max,l2_count_q25,l2_count_q75,ordinary_total_length_n,ordinary_total_length_mean,ordinary_total_length_median,ordinary_total_length_min,ordinary_total_length_max,ordinary_total_length_q25,ordinary_total_length_q75,root_coverage_qcov_n,root_coverage_qcov_mean,root_coverage_qcov_median,root_coverage_qcov_min,root_coverage_qcov_max,root_coverage_qcov_q25,root_coverage_qcov_q75,total_runtime_seconds_n,total_runtime_seconds_mean,total_runtime_seconds_median,total_runtime_seconds_min,total_runtime_seconds_max,total_runtime_seconds_q25,total_runtime_seconds_q75
SW1-A,0.8,3,3,3,3,6.0,6.0,6.0,6.0,6.0,6.0,3,1.3333333333333333,1.0,1.0,2.0,1.0,1.5,3,1.361339301226943,1.3920958692171925,1.2806258467512939,1.4112961877123429,1.3363608579842432,1.4016960284647677,3,0.5555555553333332,0.515151515,0.5151515149999999,0.636363636,0.5151515149999999,0.5757575755,3,12.58207556665972,12.904440899990732,11.670721999995294,13.171063799993135,12.287581449993013,13.037752349991933
SW1-A,1.0,3,3,3,3,5.333333333333333,5.0,5.0,6.0,5.0,5.5,3,1.3333333333333333,1.0,1.0,2.0,1.0,1.5,3,1.2992831403051388,1.2960182495733454,1.172533699060467,1.429297472281604,1.234275974316906,1.3626578609274747,3,0.515151515,0.515151515,0.4848484849999999,0.5454545449999999,0.49999999999999994,0.53030303,3,8.635214599999017,8.564299199992092,8.330700100006652,9.010644499998307,8.447499649999372,8.7874718499952
SW1-A,1.2,3,3,3,3,5.333333333333333,5.0,5.0,6.0,5.0,5.5,3,1.3333333333333333,1.0,1.0,2.0,1.0,1.5,3,1.2375083438018981,1.2305455816826012,1.171286034643718,1.3106934150793752,1.2009158081631597,1.2706194983809882,3,0.515151515,0.515151515,0.484848485,0.5454545449999999,0.5,0.53030303,3,7.198147766670445,6.903533500008052,6.344560400000773,8.34634940000251,6.624046950004413,7.624941450005281
SW1-B,0.8,3,3,3,3,5.0,5.0,5.0,5.0,5.0,5.0,3,1.3333333333333333,1.0,1.0,2.0,1.0,1.5,3,1.07571049975631,1.0562165182843228,1.0465739074314369,1.1243410735531703,1.0513952128578798,1.0902787959187465,3,0.525252525,0.484848485,0.454545454,0.636363636,0.4696969695,0.5606060605000001,3,25.66568926666514,26.04403099999763,24.708560999992187,26.244475800005603,25.37629599999491,26.144253400001617
SW1-B,1.0,3,3,3,3,5.0,5.0,5.0,5.0,5.0,5.0,3,1.6666666666666667,2.0,1.0,2.0,1.5,2.0,3,1.2167585377307084,1.1985452842877216,1.0492755770568698,1.4024547518475339,1.1239104306722956,1.3005000180676278,3,0.5454545453333334,0.484848485,0.484848485,0.666666666,0.484848485,0.5757575755,3,18.93786206666361,18.440153399991686,18.426037400000496,19.94739539999864,18.43309539999609,19.193774399995164
SW1-B,1.2,3,3,3,3,5.333333333333333,5.0,5.0,6.0,5.0,5.5,3,1.3333333333333333,1.0,1.0,2.0,1.0,1.5,3,1.1180398232771578,1.1278892763622155,1.085017871561153,1.1412123219081047,1.106453573961684,1.1345507991351602,3,0.5555555553333333,0.515151515,0.484848485,0.666666666,0.5,0.5909090905000001,3,13.966878833336523,14.779899800007115,11.366017499996815,15.754719200005638,13.072958650001965,15.267309500006377
SW1-C,0.8,3,3,3,3,6.0,6.0,6.0,6.0,6.0,6.0,3,1.6666666666666667,1.0,1.0,3.0,1.0,2.0,3,1.4978733396556583,1.4198573824795984,1.4116076979924757,1.6621549384949008,1.415732540236037,1.5410061604872496,3,0.7070707073333334,0.7272727270000001,0.666666667,0.727272728,0.6969696970000001,0.7272727275,3,20.64343613332797,19.43962819999433,18.930043899992597,23.560636299996986,19.184836049993464,21.50013224999566
SW1-C,1.0,3,3,3,3,5.666666666666667,6.0,5.0,6.0,5.5,6.0,3,1.3333333333333333,1.0,1.0,2.0,1.0,1.5,3,1.3682811380400113,1.3323536919638768,1.2804347968261827,1.4920549253299744,1.3063942443950296,1.4122043086469256,3,0.6767676773333333,0.666666667,0.636363637,0.727272728,0.651515152,0.6969696974999999,3,16.60119999999976,16.227967500002705,15.93006470000546,17.645567799991113,16.079016100004083,16.93676764999691
SW1-C,1.2,3,3,3,3,5.666666666666667,6.0,5.0,6.0,5.5,6.0,3,1.3333333333333333,1.0,1.0,2.0,1.0,1.5,3,1.3592490690700825,1.4221622805503316,1.228582453573067,1.4270024730868487,1.3253723670616993,1.4245823768185901,3,0.6767676766666666,0.666666667,0.666666666,0.696969697,0.6666666665000001,0.681818182,3,14.437091433331565,13.972495299996808,13.855482999992091,15.483296000005794,13.91398914999445,14.727895650001301
SW2-A,0.8,3,3,3,3,6.0,6.0,6.0,6.0,6.0,6.0,3,1.6666666666666667,2.0,1.0,2.0,1.5,2.0,3,1.384239849654606,1.3767872405447246,1.351228874750864,1.4247034336682296,1.3640080576477942,1.400745337106477,3,0.6464646463333333,0.636363636,0.636363636,0.6666666670000001,0.636363636,0.6515151515000001,3,29.791034366663855,29.560588199994527,27.795504999987315,32.017009900009725,28.67804659999092,30.788799050002126
SW2-A,1.0,3,3,3,3,6.0,6.0,6.0,6.0,6.0,6.0,3,1.3333333333333333,1.0,1.0,2.0,1.0,1.5,3,1.3703616545571233,1.396308441744133,1.306942337571061,1.4078341843561764,1.351625389657597,1.4020713130501545,3,0.6464646463333333,0.636363636,0.636363636,0.6666666670000001,0.636363636,0.6515151515000001,3,19.58020846666477,19.439827099995455,19.295370799998636,20.005427500000224,19.367598949997046,19.72262729999784
SW2-A,1.2,3,3,3,3,6.0,6.0,6.0,6.0,6.0,6.0,3,1.6666666666666667,1.0,1.0,3.0,1.0,2.0,3,1.497713709699293,1.463743565249037,1.4542203384815704,1.5751772253672713,1.4589819518653036,1.5194603953081542,3,0.6262626263333334,0.606060606,0.606060606,0.6666666670000001,0.606060606,0.6363636365,3,14.362696500000311,13.998105999999098,13.390947799998685,15.69903570000315,13.694526899998891,14.848570850001124
SW3-A,0.8,3,3,3,3,5.333333333333333,5.0,5.0,6.0,5.0,5.5,3,1.3333333333333333,1.0,1.0,2.0,1.0,1.5,3,1.480855667608458,1.4710193247920933,1.3874345744831147,1.5841131035501654,1.429226949637604,1.5275662141711295,3,0.6666666663333333,0.636363636,0.636363636,0.727272727,0.636363636,0.6818181815,3,10.95746779999657,10.03786989999935,8.940564599994104,13.893968899996253,9.489217249996727,11.965919399997802
SW3-A,1.0,3,3,3,3,5.666666666666667,6.0,5.0,6.0,5.5,6.0,3,1.3333333333333333,1.0,1.0,2.0,1.0,1.5,3,1.4838284484558004,1.490320968442705,1.4445486795886795,1.516615697336017,1.4674348240156923,1.503468332889361,3,0.6767676766666666,0.666666666,0.636363636,0.727272728,0.651515151,0.696969697,3,10.088362733338727,10.662415600003442,7.877761700001429,11.72491090001131,9.270088650002435,11.193663250007376
SW3-A,1.2,3,3,3,3,6.0,6.0,6.0,6.0,6.0,6.0,3,1.3333333333333333,1.0,1.0,2.0,1.0,1.5,3,1.4592505937464422,1.4543271300273644,1.4309532956761144,1.4924713555358482,1.4426402128517393,1.4733992427816063,3,0.6868686866666667,0.696969697,0.666666666,0.696969697,0.6818181815,0.696969697,3,9.612702099999296,9.708797100000083,8.18974669999443,10.939562500003376,8.949271899997257,10.32417980000173
SW3-B,0.8,3,3,3,3,6.0,6.0,6.0,6.0,6.0,6.0,3,1.3333333333333333,1.0,1.0,2.0,1.0,1.5,3,1.5367665534961708,1.427944203800282,1.399862056616099,1.7824934000721313,1.4139031302081906,1.6052188019362066,3,0.6767676766666666,0.666666667,0.6666666659999999,0.696969697,0.6666666665,0.681818182,3,62.90438696666388,63.61068630000227,59.344613299996126,65.75786129999324,61.4776497999992,64.68427379999775
