setting,case_id,target,delta,reference_delta,jbc_same,lgcs_same,jbc_reference_change
baseline,C001,1,0.0,0.0,True,True,0.0
baseline,C001,2,0.007713977868834654,0.007713977868834654,True,True,0.0
baseline,C002,1,0.0,0.0,True,True,0.0
baseline,C002,2,0.0,0.0,True,True,0.0
baseline,C003,1,0.004632455984694861,0.004632455984694861,True,True,0.0
baseline,C003,2,0.005082259356924412,0.005082259356924412,True,True,0.0
baseline,C004,1,0.019132372827951105,0.019132372827951105,True,True,0.0
baseline,C004,2,0.01339957916766088,0.01339957916766088,True,True,0.0
baseline,C005,1,0.016833414813784087,0.016833414813784087,True,True,0.0
baseline,C005,2,0.021172322726168202,0.021172322726168202,True,True,0.0
baseline,C006,1,0.02104840071325631,0.02104840071325631,True,True,0.0
baseline,C006,2,0.007959011199019317,0.007959011199019317,True,True,0.0
baseline,C007,1,0.018008445916135818,0.018008445916135818,True,True,0.0
baseline,C007,2,0.01459731870336034,0.01459731870336034,True,True,0.0
baseline,C008,1,0.021619671504486515,0.021619671504486515,True,True,0.0
baseline,C008,2,0.0,0.0,True,True,0.0
baseline,C009,1,0.0,0.0,True,True,0.0
baseline,C009,2,0.0015324777260086186,0.0015324777260086186,True,True,0.0
baseline,C009,3,0.0163300358362517,0.0163300358362517,True,True,0.0
baseline,C009,4,0.016330035836252144,0.016330035836252144,True,True,0.0
baseline,C010,1,0.005249366926565857,0.005249366926565857,True,True,0.0
baseline,C010,2,0.02504133323372182,0.02504133323372182,True,True,0.0
baseline,C010,3,0.08713235944671327,0.08713235944671327,True,True,0.0
baseline,C010,4,0.08599975318204489,0.08599975318204489,True,True,0.0
baseline,C011,1,0.012295730616153744,0.012295730616153744,True,True,0.0
baseline,C011,2,0.022659875630124837,0.022659875630124837,True,True,0.0
baseline,C012,1,0.010355793079424025,0.010355793079424025,True,True,0.0
baseline,C012,2,0.013443731446241003,0.013443731446241003,True,True,0.0
baseline,C012,3,0.02078488025024061,0.02078488025024061,True,True,0.0
baseline,C012,4,0.011878648571401307,0.011878648571401307,True,True,0.0
baseline,C013,1,0.012195269601246839,0.012195269601246839,True,True,0.0
baseline,C013,2,0.012749193131051717,0.012749193131051717,True,True,0.0
baseline,C014,1,0.012411962636539986,0.012411962636539986,True,True,0.0
baseline,C014,2,0.0,0.0,True,True,0.0
baseline,C015,1,0.0,0.0,True,True,0.0
baseline,C015,2,0.009167643740768838,0.009167643740768838,True,True,0.0
baseline,C015,3,0.012686845561647342,0.012686845561647342,True,True,0.0
baseline,C015,4,0.012686845561647342,0.012686845561647342,True,True,0.0
baseline,C016,1,0.00749865951347739,0.00749865951347739,True,True,0.0
baseline,C016,2,0.022397239737712127,0.022397239737712127,True,True,0.0
baseline,C016,3,0.028537608901085587,0.028537608901085587,True,True,0.0
baseline,C016,4,0.029234054382215824,0.029234054382215824,True,True,0.0
baseline,C017,1,0.01132528272632638,0.01132528272632638,True,True,0.0
baseline,C017,2,0.006324072240147638,0.006324072240147638,True,True,0.0
baseline,C018,1,0.029715526946743953,0.029715526946743953,True,True,0.0
baseline,C018,2,0.9412549844564453,0.9412549844564453,True,True,0.0
baseline,C018,3,0.020496204308528387,0.020496204308528387,True,True,0.0
baseline,C018,4,0.019479440873936937,0.019479440873936937,True,True,0.0
baseline,C019,1,0.022689334993359234,0.022689334993359234,True,True,0.0
baseline,C019,2,0.5453639667099415,0.5453639667099415,True,True,0.0
baseline,C020,1,0.0,0.0,True,True,0.0
baseline,C020,2,0.00871335128220374,0.00871335128220374,True,True,0.0
baseline,C021,1,0.0,0.0,True,True,0.0
baseline,C021,2,0.0,0.0,True,True,0.0
baseline,C022,1,0.01494616622909506,0.01494616622909506,True,True,0.0
baseline,C022,2,0.01494616622909506,0.01494616622909506,True,True,0.0
baseline,C022,3,0.01494616622909506,0.01494616622909506,True,True,0.0
baseline,C022,4,0.021749488061083344,0.021749488061083344,True,True,0.0
baseline,C023,1,0.028611824689425358,0.028611824689425358,True,True,0.0
baseline,C023,2,0.030217126396604232,0.030217126396604232,True,True,0.0
baseline,C023,3,0.028611824689425358,0.028611824689425358,True,True,0.0
baseline,C023,4,0.0,0.0,True,True,0.0
baseline,C024,1,0.0012986332490720898,0.0012986332490720898,True,True,0.0
baseline,C024,2,0.9193647936707225,0.9193647936707225,True,True,0.0
baseline,C024,3,0.008595694209117877,0.008595694209117877,True,True,0.0
baseline,C024,4,0.007297060960045343,0.007297060960045343,True,True,0.0
baseline,C025,1,0.009655720954056202,0.009655720954056202,True,True,0.0
baseline,C025,2,0.0,0.0,True,True,0.0
baseline,C026,1,0.0,0.0,True,True,0.0
baseline,C026,2,0.0010377974394064626,0.0010377974394064626,True,True,0.0
baseline,C027,1,0.009428604903064075,0.009428604903064075,True,True,0.0
baseline,C027,2,0.015222278117161814,0.015222278117161814,True,True,0.0
baseline,C027,3,0.026453201654315528,0.026453201654315528,True,True,0.0
baseline,C027,4,0.0,0.0,True,True,0.0
baseline,C028,1,0.0,0.0,True,True,0.0
baseline,C028,2,0.0019303490575632853,0.0019303490575632853,True,True,0.0
baseline,C029,1,0.0,0.0,True,True,0.0
baseline,C029,2,0.00702849231472058,0.00702849231472058,True,True,0.0
baseline,C029,3,0.0016727134989111825,0.0016727134989111825,True,True,0.0
baseline,C029,4,0.0016727134989116266,0.0016727134989116266,True,True,0.0
baseline,C030,1,0.0,0.0,True,True,0.0
baseline,C030,2,0.0,0.0,True,True,0.0
baseline,C031,1,0.017990608695021004,0.017990608695021004,True,True,0.0
baseline,C031,2,0.005728972099979801,0.005728972099979801,True,True,0.0
baseline,C032,1,0.009130833566021401,0.009130833566021401,True,True,0.0
baseline,C032,2,0.034691180526400744,0.034691180526400744,True,True,0.0
baseline,C033,1,0.021493887418470692,0.021493887418470692,True,True,0.0
baseline,C033,2,0.0,0.0,True,True,0.0
baseline,C034,1,0.0,0.0,True,True,0.0
baseline,C034,2,0.0024379237281770827,0.0024379237281770827,True,True,0.0
baseline,C035,1,0.029946543805899006,0.029946543805899006,True,True,0.0
baseline,C035,2,0.04130366748367731,0.04130366748367731,True,True,0.0
baseline,C035,3,0.029946543805898784,0.029946543805898784,True,True,0.0
baseline,C035,4,0.0036878669635926897,0.0036878669635926897,True,True,0.0
baseline,C036,1,0.001472036166017876,0.001472036166017876,True,True,0.0
baseline,C036,2,0.003753122240695461,0.003753122240695461,True,True,0.0
baseline,C037,1,0.02134896921225926,0.02134896921225926,True,True,0.0
baseline,C037,2,0.9200088739652446,0.9200088739652446,True,True,0.0
baseline,C037,3,0.0086431294903484,0.0086431294903484,True,True,0.0
baseline,C037,4,0.006128594031036272,0.006128594031036272,True,True,0.0
baseline,C038,1,0.009592444654570764,0.009592444654570764,True,True,0.0
baseline,C038,2,0.9190736242226454,0.9190736242226454,True,True,0.0
baseline,C038,3,0.014031462499230152,0.014031462499230152,True,True,0.0
baseline,C038,4,0.004817643326673782,0.004817643326673782,True,True,0.0
baseline,C039,1,0.0089804477420532,0.0089804477420532,True,True,0.0
baseline,C039,2,0.002291228660749489,0.002291228660749489,True,True,0.0
baseline,C040,1,0.11649994651884499,0.11649994651884499,True,True,0.0
baseline,C040,2,0.14688000144713542,0.14688000144713542,True,True,0.0
baseline,C041,1,0.0005879652412388303,0.0005879652412388303,True,True,0.0
baseline,C041,2,0.9038776035384262,0.9038776035384262,True,True,0.0
baseline,C041,3,0.9264657118371922,0.9264657118371922,True,True,0.0
baseline,C041,4,0.09281056118466813,0.09281056118466813,True,True,0.0
baseline,C041,5,0.07613027691385632,0.07613027691385632,True,True,0.0
baseline,C041,6,0.053542168615090535,0.053542168615090535,True,True,0.0
baseline,C042,1,0.010373919978011514,0.010373919978011514,True,True,0.0
baseline,C042,2,0.010373919978011514,0.010373919978011514,True,True,0.0
baseline,C042,3,0.026420126826467438,0.026420126826467438,True,True,0.0
baseline,C042,4,0.018641144411207566,0.018641144411207566,True,True,0.0
baseline,C042,5,0.15192997220396975,0.15192997220396975,True,True,0.0
baseline,C042,6,0.1400264833739997,0.1400264833739997,True,True,0.0
baseline,C043,1,0.008864037404892278,0.008864037404892278,True,True,0.0
baseline,C043,2,0.025982339045170333,0.025982339045170333,True,True,0.0
baseline,C044,1,0.01112155604738363,0.01112155604738363,True,True,0.0
baseline,C044,2,0.9046700430146848,0.9046700430146848,True,True,0.0
baseline,C044,3,0.0,0.0,True,True,0.0
baseline,C044,4,0.0,0.0,True,True,0.0
baseline,C045,1,0.0,0.0,True,True,0.0
baseline,C045,2,0.0012323367175208766,0.0012323367175208766,True,True,0.0
baseline,C045,3,0.0032441821273638816,0.0032441821273638816,True,True,0.0
baseline,C045,4,0.005626603218502169,0.005626603218502169,True,True,0.0
baseline,C046,1,0.034440308915857365,0.034440308915857365,True,True,0.0
