setting,parameter,factor,case_id,prototype,target,method,complete,score,quality,B,U,total,peak,reference_score,reference_quality,reference_score_change,clearance_quality,length_typicality,opening_typicality,parent_count,parent_coverage,changed_parents,configuration_same,conflict_edges,node_limit_reached,search_nodes,runtime_seconds
baseline,baseline,1.0,C019,proto_sw_1_3,1,LG+CS,True,0.8831801897589824,0.7031801897589823,1,1,0.0,0.0,0.8831801897589824,0.7031801897589823,0.0,0.5027768916157046,0.9970917785232407,0.8868997736976729,4,0.25,0,True,0,False,4,9.26000066101551e-05
baseline,baseline,1.0,C019,proto_sw_1_3,1,JBC,True,0.9058695247523416,0.7258695247523417,1,1,0.0,0.0,0.9058695247523416,0.7258695247523417,0.0,0.5180658788521717,0.9987478837959557,0.9562316021732912,4,0.25,0,True,0,False,71,0.00040559982880949974
baseline,baseline,1.0,C019,proto_sw_1_3,2,LG+CS,True,0.3556489406813044,0.6999966344813043,2,1,0.499378756,0.499378756,0.3556489406813044,0.6999966344813043,0.0,0.5019423005135721,0.9603355725892819,0.9192223802575955,4,0.25,0,True,0,False,4,7.659988477826118e-05
baseline,baseline,1.0,C019,proto_sw_1_3,2,JBC,True,0.9010129073912458,0.7210129073912458,2,1,0.0,0.0,0.9010129073912458,0.7210129073912458,0.0,0.5038785411320286,0.999826243674345,0.9696157442502189,4,0.25,0,True,0,False,72,0.00035900017246603966
clearance_quality_minus20,clearance_quality,0.8,C019,proto_sw_1_3,1,LG+CS,True,0.907949136720511,0.727949136720511,1,1,0.0,0.0,0.8831801897589824,0.7031801897589823,0.0,0.5027768916157046,0.9970917785232407,0.8868997736976729,4,0.25,0,True,0,False,4,6.46000262349844e-05
clearance_quality_minus20,clearance_quality,0.8,C019,proto_sw_1_3,1,JBC,True,0.9315531214366322,0.7515531214366322,1,1,0.0,0.0,0.9058695247523416,0.7258695247523417,0.0,0.5180658788521717,0.9987478837959557,0.9562316021732912,4,0.25,0,True,0,False,71,0.00032020010985434055
clearance_quality_minus20,clearance_quality,0.8,C019,proto_sw_1_3,2,LG+CS,True,0.38012756622787786,0.7244752600278779,2,1,0.499378756,0.499378756,0.3556489406813044,0.6999966344813043,0.0,0.5019423005135721,0.9603355725892819,0.9192223802575955,4,0.25,0,True,0,False,4,6.889994256198406e-05
clearance_quality_minus20,clearance_quality,0.8,C019,proto_sw_1_3,2,JBC,True,0.9278497391760927,0.7478497391760928,2,1,0.0,0.0,0.9010129073912458,0.7210129073912458,0.0,0.5038785411320286,0.999826243674345,0.9696157442502189,4,0.25,0,True,0,False,72,0.00034760008566081524
clearance_quality_plus20,clearance_quality,1.2,C019,proto_sw_1_3,1,LG+CS,True,0.8633204034564952,0.6833204034564953,1,1,0.0,0.0,0.8831801897589824,0.7031801897589823,0.0,0.5027768916157046,0.9970917785232407,0.8868997736976729,4,0.25,0,True,0,False,4,6.389990448951721e-05
clearance_quality_plus20,clearance_quality,1.2,C019,proto_sw_1_3,1,JBC,True,0.8852763706541265,0.7052763706541265,1,1,0.0,0.0,0.9058695247523416,0.7258695247523417,0.0,0.5180658788521717,0.9987478837959557,0.9562316021732912,4,0.25,0,True,0,False,71,0.00031340005807578564
clearance_quality_plus20,clearance_quality,1.2,C019,proto_sw_1_3,2,LG+CS,True,0.33602193461242985,0.6803696284124299,2,1,0.499378756,0.499378756,0.3556489406813044,0.6999966344813043,0.0,0.5019423005135721,0.9603355725892819,0.9192223802575955,4,0.25,0,True,0,False,4,7.139984518289566e-05
clearance_quality_plus20,clearance_quality,1.2,C019,proto_sw_1_3,2,JBC,True,0.8794950873115033,0.6994950873115033,2,1,0.0,0.0,0.9010129073912458,0.7210129073912458,0.0,0.5038785411320286,0.999826243674345,0.9696157442502189,4,0.25,0,True,0,False,72,0.0003746999427676201
length_typicality_minus20,length_typicality,0.8,C019,proto_sw_1_3,1,LG+CS,True,0.8677111587713897,0.6877111587713898,1,1,0.0,0.0,0.8831801897589824,0.7031801897589823,0.0,0.5027768916157046,0.9970917785232407,0.8868997736976729,4,0.25,0,True,0,False,4,6.0499878600239754e-05
length_typicality_minus20,length_typicality,0.8,C019,proto_sw_1_3,1,JBC,True,0.8915075058553092,0.7115075058553093,1,1,0.0,0.0,0.9058695247523416,0.7258695247523417,0.0,0.5180658788521717,0.9987478837959557,0.9562316021732912,4,0.25,0,True,0,False,71,0.00032459991052746773
length_typicality_minus20,length_typicality,0.8,C019,proto_sw_1_3,2,LG+CS,True,0.3419468913072002,0.6862945851072001,2,1,0.499378756,0.499378756,0.3556489406813044,0.6999966344813043,0.0,0.5019423005135721,0.9603355725892819,0.9192223802575955,4,0.25,0,True,0,False,4,6.789993494749069e-05
length_typicality_minus20,length_typicality,0.8,C019,proto_sw_1_3,2,JBC,True,0.8863385212710826,0.7063385212710827,2,1,0.0,0.0,0.9010129073912458,0.7210129073912458,0.0,0.5038785411320286,0.999826243674345,0.9696157442502189,4,0.25,0,True,0,False,72,0.00034309993498027325
length_typicality_plus20,length_typicality,1.2,C019,proto_sw_1_3,1,LG+CS,True,0.8971759797001375,0.7171759797001375,1,1,0.0,0.0,0.8831801897589824,0.7031801897589823,0.0,0.5027768916157046,0.9970917785232407,0.8868997736976729,4,0.25,0,True,0,False,4,6.0399994254112244e-05
length_typicality_plus20,length_typicality,1.2,C019,proto_sw_1_3,1,JBC,True,0.9188637323258471,0.738863732325847,1,1,0.0,0.0,0.9058695247523416,0.7258695247523417,0.0,0.5180658788521717,0.9987478837959557,0.9562316021732912,4,0.25,0,True,0,False,71,0.0003128000535070896
length_typicality_plus20,length_typicality,1.2,C019,proto_sw_1_3,2,LG+CS,True,0.3680460329721605,0.7123937267721604,2,1,0.499378756,0.499378756,0.3556489406813044,0.6999966344813043,0.0,0.5019423005135721,0.9603355725892819,0.9192223802575955,4,0.25,0,True,0,False,4,6.729993037879467e-05
length_typicality_plus20,length_typicality,1.2,C019,proto_sw_1_3,2,JBC,True,0.9142897329285362,0.7342897329285363,2,1,0.0,0.0,0.9010129073912458,0.7210129073912458,0.0,0.5038785411320286,0.999826243674345,0.9696157442502189,4,0.25,0,True,0,False,72,0.00034280004911124706
opening_typicality_minus20,opening_typicality,0.8,C019,proto_sw_1_3,1,LG+CS,True,0.8755553844718746,0.6955553844718746,1,1,0.0,0.0,0.88127849480093,0.7012784948009301,-0.001901694958052369,0.5162637450028836,0.9984272260387684,0.8386331426982597,4,0.25,1,False,0,False,4,6.029987707734108e-05
opening_typicality_minus20,opening_typicality,0.8,C019,proto_sw_1_3,1,JBC,True,0.896271104859802,0.7162711048598019,1,1,0.0,0.0,0.9058695247523416,0.7258695247523417,0.0,0.5180658788521717,0.9987478837959557,0.9562316021732912,4,0.25,0,True,0,False,71,0.0003152000717818737
opening_typicality_minus20,opening_typicality,0.8,C019,proto_sw_1_3,2,LG+CS,True,0.34651453460729204,0.6908622284072921,2,1,0.499378756,0.499378756,0.3556489406813044,0.6999966344813043,0.0,0.5019423005135721,0.9603355725892819,0.9192223802575955,4,0.25,0,True,0,False,4,6.560003384947777e-05
opening_typicality_minus20,opening_typicality,0.8,C019,proto_sw_1_3,2,JBC,True,0.8906544558554552,0.7106544558554552,2,1,0.0,0.0,0.9010129073912458,0.7210129073912458,0.0,0.5038785411320286,0.999826243674345,0.9696157442502189,4,0.25,0,True,0,False,72,0.0003728000447154045
opening_typicality_plus20,opening_typicality,1.2,C019,proto_sw_1_3,1,LG+CS,True,0.8902463276027781,0.7102463276027781,1,1,0.0,0.0,0.8831801897589824,0.7031801897589823,0.0,0.5027768916157046,0.9970917785232407,0.8868997736976729,4,0.25,0,True,0,False,4,6.010010838508606e-05
opening_typicality_plus20,opening_typicality,1.2,C019,proto_sw_1_3,1,JBC,True,0.9147296046531472,0.7347296046531473,1,1,0.0,0.0,0.9058695247523416,0.7258695247523417,0.0,0.5180658788521717,0.9987478837959557,0.9562316021732912,4,0.25,0,True,0,False,71,0.000449199927970767
opening_typicality_plus20,opening_typicality,1.2,C019,proto_sw_1_3,2,LG+CS,True,0.3640807001342386,0.7084283939342385,2,1,0.499378756,0.499378756,0.3556489406813044,0.6999966344813043,0.0,0.5019423005135721,0.9603355725892819,0.9192223802575955,4,0.25,0,True,0,False,4,0.0001183999702334404
