setting,parameter,factor,pairs,wins,ties,losses,paired_median,ci_low,ci_high,mean_gain,reference_wins,reference_ties,reference_losses,reference_median,reference_ci_low,reference_ci_high,reference_mean_gain,LGCS_complete,LGCS_same_count,LGCS_same_percent,LGCS_changed_parent_percent,LGCS_reference_change_mean,LGCS_reference_change_min,LGCS_node_limit_count,LGCS_score_mean,LGCS_quality_mean,LGCS_total_mean,LGCS_peak_mean,LGCS_parent_coverage_mean,LGCS_clearance_quality_mean,LGCS_length_typicality_mean,LGCS_opening_typicality_mean,JBC_complete,JBC_same_count,JBC_same_percent,JBC_changed_parent_percent,JBC_reference_change_mean,JBC_reference_change_min,JBC_node_limit_count,JBC_score_mean,JBC_quality_mean,JBC_total_mean,JBC_peak_mean,JBC_parent_coverage_mean,JBC_clearance_quality_mean,JBC_length_typicality_mean,JBC_opening_typicality_mean
baseline,baseline,1.0,336,281,55,0,0.009754903417733995,0.008017342257939769,0.011861484248832738,0.062004806447873984,281,55,0,0.009754903417733995,0.008017342257939769,0.011861484248832738,0.062004806447873984,336,336,100.0,0.0,0.0,0.0,0,1.389933922042469,1.1206222773952963,0.009862023901785713,0.009802242398809523,0.26772959183673467,0.7938906328674242,1.5376666498016318,1.4978288343390247,336,336,100.0,0.0,0.0,0.0,0,1.451938728490343,1.1643745498867717,0.00010894554761904761,0.00010894554761904761,0.2749716553287982,0.8241713064967745,1.5887660878918302,1.5694440467029402
clearance_quality_minus20,clearance_quality,0.8,336,280,56,0,0.010237033110867821,0.007961355799808698,0.011722345835786463,0.07192904207141253,278,56,2,0.009754903417733995,0.0078071606851643416,0.011861484248832738,0.06998978956695925,336,312,92.85714285714286,1.6135204081632653,-0.008091908106944878,-0.9187061450151282,0,1.4221626124533833,1.1545608582977287,0.009959878791666668,0.009900097288690476,0.26638321995464853,0.7880099626808255,1.529234115695538,1.4926312569076539,336,290,86.30952380952381,4.079506802721089,-0.00010692498785960593,-0.002704104539878127,0,1.4940916545247958,1.2065359315837245,0.00011699855952380952,0.00011699855952380952,0.2749716553287982,0.8223554677445188,1.58995270831409,1.5724619811170204
clearance_quality_plus20,clearance_quality,1.2,336,285,51,0,0.009515442446681843,0.008080298176685374,0.012128283834146936,0.06072538884945058,280,51,5,0.00952867122373946,0.00794637758458161,0.011811953576900458,0.061934345024760716,336,321,95.53571428571429,0.7532596371882085,-3.0111585964576787e-05,-0.0016270167778649203,0,1.3575908151142837,1.0882032462296114,0.009789715104166666,0.009729933601190476,0.26772959183673467,0.7944487431185171,1.5368305160340867,1.4968090192406283,336,297,88.39285714285714,3.412698412698413,-0.00010057300907784559,-0.002530523441675925,0,1.4183162039637345,1.130749249594538,0.00010630196130952382,0.00010630196130952382,0.2749716553287982,0.8260042357988062,1.587056829361566,1.566023320411669
length_typicality_minus20,length_typicality,0.8,336,281,55,0,0.009976761141352763,0.007607172920467956,0.01216980466814721,0.06161360535062216,281,55,0,0.009754903417733995,0.00803341364046517,0.011861484248832738,0.06203838108117595,336,313,93.1547619047619,1.1543367346938775,-8.520109087154477e-05,-0.003565189784730638,0,1.36804146703291,1.0986830728513624,0.009817500535714285,0.009757719032738097,0.26772959183673467,0.7940619949581499,1.5348281512251107,1.5002459586839478,336,316,94.04761904761905,1.5532879818594105,-5.162645756957851e-05,-0.002530523441675925,0,1.429655072383532,1.1420933288674608,0.00011126467857142858,0.00011126467857142858,0.2749716553287982,0.8248375248345936,1.5867339218522847,1.569906196973021
length_typicality_plus20,length_typicality,1.2,336,281,55,0,0.009864594398429516,0.007626783166704287,0.011645354843438205,0.06246853410422241,281,55,0,0.009754903417733995,0.008017342257939769,0.011861484248832738,0.06210670644582823,336,322,95.83333333333333,0.8666383219954649,-0.00013673061345829534,-0.04463459841850259,0,1.409722943696304,1.1405027307428814,0.009949101705357141,0.009889320202380952,0.26772959183673467,0.7935065782447013,1.53901777608875,1.4969695820940738,336,320,95.23809523809524,1.082766439909297,-3.483061550404282e-05,-0.0016347504154665682,0,1.4721914778005265,1.18463293190633,0.00011431003273809522,0.00011431003273809522,0.2749716553287982,0.8235442515599581,1.5903845304200825,1.5689994050882246
opening_typicality_minus20,opening_typicality,0.8,336,284,52,0,0.009436417805674169,0.007458035213803282,0.011671552357956916,0.060856410113873514,280,52,4,0.00952867122373946,0.00794637758458161,0.011811953576900458,0.061954600701612086,336,316,94.04761904761905,1.125283446712018,-2.236073864883658e-05,-0.0022279343291236042,0,1.3742901971317334,1.1048960713470608,0.0097834704375,0.00972368893452381,0.26772959183673467,0.7942827316906832,1.5383035918377046,1.4954301756492276,336,300,89.28571428571429,2.9393424036281184,-7.256648491073798e-05,-0.002514898801750931,0,1.435146607245607,1.1475772177889103,0.00010398283035714283,0.00010398283035714283,0.2749716553287982,0.8253170683980652,1.5890366702915661,1.5655660867845413
opening_typicality_plus20,opening_typicality,1.2,336,280,56,0,0.010521071696395545,0.00779404534860606,0.01235363218059049,0.07101928357482322,278,56,2,0.009754903417734107,0.0078071606851643416,0.011861484248832738,0.06991024850820676,336,308,91.66666666666667,1.7899659863945578,-0.007979861383201094,-0.9187061450151282,0,1.3965573465466643,1.12893145647226,0.009936892202380952,0.009877110699404763,0.26638321995464853,0.7883512392778659,1.527729073002407,1.494013603657176,336,299,88.98809523809524,3.292942176870748,-7.441932286831625e-05,-0.002704104539878127,0,1.4675766301214876,1.1800221030585412,0.00011813749107142857,0.00011813749107142857,0.2749716553287982,0.8231573919791868,1.588028764536806,1.572830126908869
upgraded_lane_reward_minus20,upgraded_lane_reward,0.8,336,281,55,0,0.009754903417733884,0.008017342257939878,0.011861484248832738,0.06039766359073112,281,55,0,0.009754903417733995,0.008017342257939769,0.011861484248832738,0.062004806447873984,336,336,100.0,0.0,0.0,0.0,0,1.3340053506138976,1.1206222773952963,0.009862023901785713,0.009802242398809523,0.26772959183673467,0.7938906328674242,1.5376666498016318,1.4978288343390247,336,336,100.0,0.0,0.0,0.0,0,1.3944030142046286,1.1643745498867717,0.00010894554761904761,0.00010894554761904761,0.2749716553287982,0.8241713064967745,1.5887660878918302,1.5694440467029402
upgraded_lane_reward_plus20,upgraded_lane_reward,1.2,336,281,55,0,0.009754903417733884,0.008017342257939878,0.011861484248832738,0.06361194930501683,281,55,0,0.009754903417733995,0.008017342257939769,0.011861484248832738,0.062004806447873984,336,336,100.0,0.0,0.0,0.0,0,1.4458624934710405,1.1206222773952963,0.009862023901785713,0.009802242398809523,0.26772959183673467,0.7938906328674242,1.5376666498016318,1.4978288343390247,336,336,100.0,0.0,0.0,0.0,0,1.5094744427760571,1.1643745498867717,0.00010894554761904761,0.00010894554761904761,0.2749716553287982,0.8241713064967745,1.5887660878918302,1.5694440467029402
total_parallel_penalty_minus20,total_parallel_penalty,0.8,336,281,55,0,0.009754903417733884,0.00794637758458161,0.0119437158138328,0.060736906261832306,281,55,0,0.009754903417733995,0.008017342257939769,0.011861484248832738,0.062004806447873984,336,336,100.0,0.0,0.0,0.0,0,1.3912159851497012,1.1206222773952963,0.009862023901785713,0.009802242398809523,0.26772959183673467,0.7938906328674242,1.5376666498016318,1.4978288343390247,336,336,100.0,0.0,0.0,0.0,0,1.4519528914115336,1.1643745498867717,0.00010894554761904761,0.00010894554761904761,0.2749716553287982,0.8241713064967745,1.5887660878918302,1.5694440467029402
total_parallel_penalty_plus20,total_parallel_penalty,1.2,336,281,55,0,0.009754903417733884,0.00794637758458161,0.011811953576900569,0.06324175893336967,281,55,0,0.009754903417733995,0.008017342257939769,0.011861484248832738,0.061983878944203,336,333,99.10714285714286,0.19132653061224486,2.09275036709769e-05,-0.0004672882539819012,0,1.3886828066357826,1.1205622725395923,0.009784945464285714,0.009725163961309524,0.26772959183673467,0.7938324552916528,1.537555414631101,1.4978278423570397,336,336,100.0,0.0,0.0,0.0,0,1.4519245655691524,1.1643745498867717,0.00010894554761904761,0.00010894554761904761,0.2749716553287982,0.8241713064967745,1.5887660878918302,1.5694440467029402
peak_parallel_penalty_minus20,peak_parallel_penalty,0.8,336,281,55,0,0.009754903417733884,0.00794637758458161,0.011912088288832806,0.061229342699778734,281,55,0,0.009754903417733995,0.008017342257939769,0.011861484248832738,0.062004806447873984,336,336,100.0,0.0,0.0,0.0,0,1.390718101434374,1.1206222773952963,0.009862023901785713,0.009802242398809523,0.26772959183673467,0.7938906328674242,1.5376666498016318,1.4978288343390247,336,336,100.0,0.0,0.0,0.0,0,1.4519474441341524,1.1643745498867717,0.00010894554761904761,0.00010894554761904761,0.2749716553287982,0.8241713064967745,1.5887660878918302,1.5694440467029402
peak_parallel_penalty_plus20,peak_parallel_penalty,1.2,336,281,55,0,0.009754903417733884,0.007966714720465173,0.01183479861913267,0.06277695617505326,281,55,0,0.009754903417733995,0.008017342257939769,0.011861484248832738,0.062007277130767556,336,334,99.4047619047619,0.09212018140589569,-2.470682893575139e-06,-0.0004672882539819012,0,1.38915305667148,1.1205438824749028,0.009789715104166666,0.009729933601190476,0.26772959183673467,0.7939112798253711,1.537549710512429,1.497526254714207,336,336,100.0,0.0,0.0,0.0,0,1.4519300128465336,1.1643745498867717,0.00010894554761904761,0.00010894554761904761,0.2749716553287982,0.8241713064967745,1.5887660878918302,1.5694440467029402
