case_id,prototype_id,backbone_variant,density_level,replicate,diagnostic_id,method,target_l2_count,target_upgraded_parent_count,achieved_l2_count,achieved_upgraded_parent_count,mechanically_legal,internal_unit_crossing_count,cross_unit_crossing_count,ordinary_backbone_nonroot_crossing_count,ordinary_support_crossing_count,periodic_crossing_count,clearance_violation_count,flower_region_intrusion_curve_count,periodic_seam_violation_count,minimum_cross_unit_clearance,minimum_full_unit_clearance_required,parallel_cotravel_total,parallel_cotravel_peak,hierarchy_l1_only_ratio,hierarchy_single_l2_ratio,hierarchy_opposed_l2_ratio
C001,proto_sw_1_1,expanded,simple,1,MB-L2,LocalGreedy,1,,1,1,1,0,0,0,0,0,0,0,0,0.13025855419383658,0.027768053,0.0,0.0,0.75,0.25,0.0
C001,proto_sw_1_1,expanded,simple,1,MB-L2,LG+Count,1,,1,1,1,0,0,0,0,0,0,0,0,0.13025855419383658,0.027768053,0.0,0.0,0.75,0.25,0.0
C001,proto_sw_1_1,expanded,simple,1,MB-L2,LG+CS,1,,1,1,1,0,0,0,0,0,0,0,0,0.13025855419383658,0.027768053,0.0,0.0,0.75,0.25,0.0
C001,proto_sw_1_1,expanded,simple,1,MB-L2,JBC,1,,1,1,1,0,0,0,0,0,0,0,0,0.13025855419383658,0.027768053,0.0,0.0,0.75,0.25,0.0
C001,proto_sw_1_1,expanded,simple,1,MB-L2,LocalGreedy,2,,2,1,1,0,0,0,0,0,0,0,0,0.13025855419383658,0.027768053,0.0,0.0,0.75,0.0,0.25
C001,proto_sw_1_1,expanded,simple,1,MB-L2,LG+Count,2,,2,1,1,0,0,0,0,0,0,0,0,0.13025855419383658,0.027768053,0.0,0.0,0.75,0.0,0.25
C001,proto_sw_1_1,expanded,simple,1,MB-L2,LG+CS,2,,2,1,1,0,0,0,0,0,0,0,0,0.13025855419383658,0.027768053,0.0,0.0,0.75,0.0,0.25
C001,proto_sw_1_1,expanded,simple,1,MB-L2,JBC,2,,2,1,1,0,0,0,0,0,0,0,0,0.11607081894526802,0.027768053,0.0,0.0,0.75,0.0,0.25
C002,proto_sw_1_1,expanded,simple,2,MB-L2,LocalGreedy,1,,1,1,1,0,0,0,0,0,0,0,0,0.2299465213980741,0.027768053,0.0,0.0,0.75,0.25,0.0
C002,proto_sw_1_1,expanded,simple,2,MB-L2,LG+Count,1,,1,1,1,0,0,0,0,0,0,0,0,0.2299465213980741,0.027768053,0.0,0.0,0.75,0.25,0.0
