case_id,target,method,attained,score,quality,B,U,total,peak
C001,1,LocalGreedy,True,0.8865829208642997,0.7065829208642996,1,1,0.0,0.0
C001,1,LG+Count,True,0.8865829208642997,0.7065829208642996,1,1,0.0,0.0
C001,1,LG+CS,True,0.9158563482771522,0.7358563482771522,1,1,0.0,0.0
C001,1,JBC,True,0.9158563482771522,0.7358563482771522,1,1,0.0,0.0
C001,2,LocalGreedy,True,0.884364325945334,0.704364325945334,2,1,0.0,0.0
C001,2,LG+Count,True,0.884364325945334,0.704364325945334,2,1,0.0,0.0
C001,2,LG+CS,True,0.9024475621478478,0.7224475621478478,2,1,0.0,0.0
C001,2,JBC,True,0.9101615400166825,0.7301615400166824,2,1,0.0,0.0
C002,1,LocalGreedy,True,0.8881082428430491,0.7081082428430491,1,1,0.0,0.0
C002,1,LG+Count,True,0.8881082428430491,0.7081082428430491,1,1,0.0,0.0
C002,1,LG+CS,True,0.9188509398117188,0.7388509398117189,1,1,0.0,0.0
C002,1,JBC,True,0.9188509398117188,0.7388509398117189,1,1,0.0,0.0
C002,2,LocalGreedy,True,0.8808237294902455,0.7008237294902455,2,1,0.0,0.0
C002,2,LG+Count,True,0.8808237294902455,0.7008237294902455,2,1,0.0,0.0
C002,2,LG+CS,True,0.9018663019936615,0.7218663019936615,2,1,0.0,0.0
C002,2,JBC,True,0.9018663019936615,0.7218663019936615,2,1,0.0,0.0
C003,1,LocalGreedy,True,0.8631068644947657,0.6831068644947657,1,1,0.0,0.0
C003,1,LG+Count,True,0.8631068644947657,0.6831068644947657,1,1,0.0,0.0
C003,1,LG+CS,True,0.9045195033138698,0.7245195033138698,1,1,0.0,0.0
C003,1,JBC,True,0.9091519592985646,0.7291519592985646,1,1,0.0,0.0
C003,2,LocalGreedy,True,0.9036460259547772,0.7236460259547772,2,1,0.0,0.0
C003,2,LG+Count,True,0.9036460259547772,0.7236460259547772,2,1,0.0,0.0
C003,2,LG+CS,True,0.9036460259547772,0.7236460259547772,2,1,0.0,0.0
C003,2,JBC,True,0.9087282853117016,0.7287282853117015,2,1,0.0,0.0
C004,1,LocalGreedy,True,0.8657843969205623,0.6857843969205624,1,1,0.0,0.0
C004,1,LG+Count,True,0.8657843969205623,0.6857843969205624,1,1,0.0,0.0
C004,1,LG+CS,True,0.8958310016612112,0.7158310016612112,1,1,0.0,0.0
C004,1,JBC,True,0.9149633744891623,0.7349633744891624,1,1,0.0,0.0
C004,2,LocalGreedy,True,0.8905168367097387,0.7105168367097388,2,1,0.0,0.0
C004,2,LG+Count,True,0.8905168367097387,0.7105168367097388,2,1,0.0,0.0
C004,2,LG+CS,True,0.8938224457989652,0.7138224457989653,2,1,0.0,0.0
C004,2,JBC,True,0.9072220249666261,0.727222024966626,2,1,0.0,0.0
C005,1,LocalGreedy,True,0.8806347495875191,0.700634749587519,1,1,0.0,0.0
C005,1,LG+Count,True,0.8806347495875191,0.700634749587519,1,1,0.0,0.0
C005,1,LG+CS,True,0.8978728643112208,0.7178728643112209,1,1,0.0,0.0
C005,1,JBC,True,0.9147062791250049,0.734706279125005,1,1,0.0,0.0
C005,2,LocalGreedy,True,0.8849750079475753,0.7049750079475753,2,1,0.0,0.0
C005,2,LG+Count,True,0.8849750079475753,0.7049750079475753,2,1,0.0,0.0
C005,2,LG+CS,True,0.8849750079475753,0.7049750079475753,2,1,0.0,0.0
C005,2,JBC,True,0.9061473306737435,0.7261473306737436,2,1,0.0,0.0
C006,1,LocalGreedy,True,0.8749915179777474,0.6949915179777475,1,1,0.0,0.0
C006,1,LG+Count,True,0.8749915179777474,0.6949915179777475,1,1,0.0,0.0
C006,1,LG+CS,True,0.8939427571551679,0.7139427571551679,1,1,0.0,0.0
C006,1,JBC,True,0.9149911578684242,0.7349911578684242,1,1,0.0,0.0
C006,2,LocalGreedy,False,0.8749915179777474,0.6949915179777475,1,1,0.0,0.0
C006,2,LG+Count,True,0.8934484392149222,0.7134484392149222,2,1,0.0,0.0
C006,2,LG+CS,True,0.8956763735440458,0.7156763735440459,2,1,0.0,0.0
C006,2,JBC,True,0.9036353847430652,0.7236353847430651,2,1,0.0,0.0
C007,1,LocalGreedy,True,0.876065553760869,0.696065553760869,1,1,0.0,0.0
C007,1,LG+Count,True,0.876065553760869,0.696065553760869,1,1,0.0,0.0
C007,1,LG+CS,True,0.8972449125785766,0.7172449125785766,1,1,0.0,0.0
C007,1,JBC,True,0.9152533584947125,0.7352533584947124,1,1,0.0,0.0
C007,2,LocalGreedy,True,0.8835573181609533,0.7035573181609533,2,1,0.0,0.0
C007,2,LG+Count,True,0.8835573181609533,0.7035573181609533,2,1,0.0,0.0
C007,2,LG+CS,True,0.8835573181609533,0.7035573181609533,2,1,0.0,0.0
C007,2,JBC,True,0.8981546368643136,0.7181546368643137,2,1,0.0,0.0
C008,1,LocalGreedy,True,0.8756286964493829,0.6956286964493829,1,1,0.0,0.0
C008,1,LG+Count,True,0.8756286964493829,0.6956286964493829,1,1,0.0,0.0
