case_id,prototype_id,backbone_variant,density_level,replicate,production_seed,diagnostic_id,method,target_l2_count,target_upgraded_parent_count,achieved_l2_count,achieved_upgraded_parent_count,budget_attained,selection_status,failure_reason,selected_candidate_ids,selected_parent_states,search_node_count,search_node_limit_reached,bounded_space_exhausted,runtime_seconds,source_stage3_plan_id,source_inventory_id,source_conflict_graph_id
C001,proto_sw_1_1,expanded,simple,1,100013,MB-L2,LocalGreedy,1,,1,1,1,success,,"[""proto_sw_1_1__seed_1575422959__global_l1_flow_v3__density_simple__selected_l1_001__L1-Only__independent_l1__context_preferred__sample_0000"", ""proto_sw_1_1__seed_1575422959__global_l1_flow_v3__density_simple__selected_l1_002__L1-Only__independent_l1__context_preferred__sample_0025"", ""proto_sw_1_1__seed_1575422959__global_l1_flow_v3__density_simple__selected_l1_004__Y-C__balanced_s__context_opposed__sample_0079"", ""proto_sw_1_1__seed_1575422959__global_l1_flow_v3__density_simple__selected_l1_003__L1-Only__independent_l1__context_preferred__sample_0050""]","{""selected_l1_001"": ""L1_ONLY"", ""selected_l1_002"": ""L1_ONLY"", ""selected_l1_003"": ""L1_ONLY"", ""selected_l1_004"": ""SINGLE_L2_LEFT""}",4,0,1,0.0004936999175697565,proto_sw_1_1__seed_1575422959__global_l1_flow_v3__density_simple,proto_sw_1_1__seed_1575422959__global_l1_flow_v3__density_simple__unit_candidates_v2,30b24d363cdf9b5b764266303fd00b9b37aa2e74673523b88dd749f74609cfc4
C001,proto_sw_1_1,expanded,simple,1,100013,MB-L2,LG+Count,1,,1,1,1,success,,"[""proto_sw_1_1__seed_1575422959__global_l1_flow_v3__density_simple__selected_l1_001__L1-Only__independent_l1__context_preferred__sample_0000"", ""proto_sw_1_1__seed_1575422959__global_l1_flow_v3__density_simple__selected_l1_002__L1-Only__independent_l1__context_preferred__sample_0025"", ""proto_sw_1_1__seed_1575422959__global_l1_flow_v3__density_simple__selected_l1_004__Y-C__balanced_s__context_opposed__sample_0079"", ""proto_sw_1_1__seed_1575422959__global_l1_flow_v3__density_simple__selected_l1_003__L1-Only__independent_l1__context_preferred__sample_0050""]","{""selected_l1_001"": ""L1_ONLY"", ""selected_l1_002"": ""L1_ONLY"", ""selected_l1_003"": ""L1_ONLY"", ""selected_l1_004"": ""SINGLE_L2_LEFT""}",4,0,1,0.00015740003436803818,proto_sw_1_1__seed_1575422959__global_l1_flow_v3__density_simple,proto_sw_1_1__seed_1575422959__global_l1_flow_v3__density_simple__unit_candidates_v2,30b24d363cdf9b5b764266303fd00b9b37aa2e74673523b88dd749f74609cfc4
C001,proto_sw_1_1,expanded,simple,1,100013,MB-L2,LG+CS,1,,1,1,1,success,,"[""proto_sw_1_1__seed_1575422959__global_l1_flow_v3__density_simple__selected_l1_001__L1-Only__independent_l1__context_preferred__sample_0000"", ""proto_sw_1_1__seed_1575422959__global_l1_flow_v3__density_simple__selected_l1_002__L1-Only__independent_l1__context_preferred__sample_0025"", ""proto_sw_1_1__seed_1575422959__global_l1_flow_v3__density_simple__selected_l1_004__Y-C__open_c__context_opposed__sample_0081"", ""proto_sw_1_1__seed_1575422959__global_l1_flow_v3__density_simple__selected_l1_003__L1-Only__independent_l1__context_preferred__sample_0050""]","{""selected_l1_001"": ""L1_ONLY"", ""selected_l1_002"": ""L1_ONLY"", ""selected_l1_003"": ""L1_ONLY"", ""selected_l1_004"": ""SINGLE_L2_LEFT""}",4,0,1,0.0002623000182211399,proto_sw_1_1__seed_1575422959__global_l1_flow_v3__density_simple,proto_sw_1_1__seed_1575422959__global_l1_flow_v3__density_simple__unit_candidates_v2,30b24d363cdf9b5b764266303fd00b9b37aa2e74673523b88dd749f74609cfc4
C001,proto_sw_1_1,expanded,simple,1,100013,MB-L2,JBC,1,,1,1,1,success,,"[""proto_sw_1_1__seed_1575422959__global_l1_flow_v3__density_simple__selected_l1_001__L1-Only__independent_l1__context_preferred__sample_0000"", ""proto_sw_1_1__seed_1575422959__global_l1_flow_v3__density_simple__selected_l1_002__L1-Only__independent_l1__context_preferred__sample_0025"", ""proto_sw_1_1__seed_1575422959__global_l1_flow_v3__density_simple__selected_l1_004__Y-C__open_c__context_opposed__sample_0081"", ""proto_sw_1_1__seed_1575422959__global_l1_flow_v3__density_simple__selected_l1_003__L1-Only__independent_l1__context_preferred__sample_0050""]","{""selected_l1_001"": ""L1_ONLY"", ""selected_l1_002"": ""L1_ONLY"", ""selected_l1_003"": ""L1_ONLY"", ""selected_l1_004"": ""SINGLE_L2_LEFT""}",127,0,1,0.002073399955406785,proto_sw_1_1__seed_1575422959__global_l1_flow_v3__density_simple,proto_sw_1_1__seed_1575422959__global_l1_flow_v3__density_simple__unit_candidates_v2,30b24d363cdf9b5b764266303fd00b9b37aa2e74673523b88dd749f74609cfc4
C001,proto_sw_1_1,expanded,simple,1,100013,MB-L2,LocalGreedy,2,,2,1,1,success,,"[""proto_sw_1_1__seed_1575422959__global_l1_flow_v3__density_simple__selected_l1_001__L1-Only__independent_l1__context_preferred__sample_0000"", ""proto_sw_1_1__seed_1575422959__global_l1_flow_v3__density_simple__selected_l1_002__L1-Only__independent_l1__context_preferred__sample_0025"", ""proto_sw_1_1__seed_1575422959__global_l1_flow_v3__density_simple__selected_l1_004__Y-2C__nested_s__context_preferred__sample_0084"", ""proto_sw_1_1__seed_1575422959__global_l1_flow_v3__density_simple__selected_l1_003__L1-Only__independent_l1__context_preferred__sample_0050""]","{""selected_l1_001"": ""L1_ONLY"", ""selected_l1_002"": ""L1_ONLY"", ""selected_l1_003"": ""L1_ONLY"", ""selected_l1_004"": ""OPPOSED_L2_PAIR""}",4,0,1,0.0007203000131994486,proto_sw_1_1__seed_1575422959__global_l1_flow_v3__density_simple,proto_sw_1_1__seed_1575422959__global_l1_flow_v3__density_simple__unit_candidates_v2,30b24d363cdf9b5b764266303fd00b9b37aa2e74673523b88dd749f74609cfc4
C001,proto_sw_1_1,expanded,simple,1,100013,MB-L2,LG+Count,2,,2,1,1,success,,"[""proto_sw_1_1__seed_1575422959__global_l1_flow_v3__density_simple__selected_l1_001__L1-Only__independent_l1__context_preferred__sample_0000"", ""proto_sw_1_1__seed_1575422959__global_l1_flow_v3__density_simple__selected_l1_002__L1-Only__independent_l1__context_preferred__sample_0025"", ""proto_sw_1_1__seed_1575422959__global_l1_flow_v3__density_simple__selected_l1_004__Y-2C__nested_s__context_preferred__sample_0084"", ""proto_sw_1_1__seed_1575422959__global_l1_flow_v3__density_simple__selected_l1_003__L1-Only__independent_l1__context_preferred__sample_0050""]","{""selected_l1_001"": ""L1_ONLY"", ""selected_l1_002"": ""L1_ONLY"", ""selected_l1_003"": ""L1_ONLY"", ""selected_l1_004"": ""OPPOSED_L2_PAIR""}",4,0,1,8.519995026290417e-05,proto_sw_1_1__seed_1575422959__global_l1_flow_v3__density_simple,proto_sw_1_1__seed_1575422959__global_l1_flow_v3__density_simple__unit_candidates_v2,30b24d363cdf9b5b764266303fd00b9b37aa2e74673523b88dd749f74609cfc4
C001,proto_sw_1_1,expanded,simple,1,100013,MB-L2,LG+CS,2,,2,1,1,success,,"[""proto_sw_1_1__seed_1575422959__global_l1_flow_v3__density_simple__selected_l1_001__L1-Only__independent_l1__context_preferred__sample_0000"", ""proto_sw_1_1__seed_1575422959__global_l1_flow_v3__density_simple__selected_l1_002__L1-Only__independent_l1__context_preferred__sample_0025"", ""proto_sw_1_1__seed_1575422959__global_l1_flow_v3__density_simple__selected_l1_004__Y-2C__open_asymmetric__context_preferred__sample_0092"", ""proto_sw_1_1__seed_1575422959__global_l1_flow_v3__density_simple__selected_l1_003__L1-Only__independent_l1__context_preferred__sample_0050""]","{""selected_l1_001"": ""L1_ONLY"", ""selected_l1_002"": ""L1_ONLY"", ""selected_l1_003"": ""L1_ONLY"", ""selected_l1_004"": ""OPPOSED_L2_PAIR""}",4,0,1,0.00026130001060664654,proto_sw_1_1__seed_1575422959__global_l1_flow_v3__density_simple,proto_sw_1_1__seed_1575422959__global_l1_flow_v3__density_simple__unit_candidates_v2,30b24d363cdf9b5b764266303fd00b9b37aa2e74673523b88dd749f74609cfc4
C001,proto_sw_1_1,expanded,simple,1,100013,MB-L2,JBC,2,,2,1,1,success,,"[""proto_sw_1_1__seed_1575422959__global_l1_flow_v3__density_simple__selected_l1_001__Y-2C__open_asymmetric__context_swapped__sample_0024"", ""proto_sw_1_1__seed_1575422959__global_l1_flow_v3__density_simple__selected_l1_002__L1-Only__independent_l1__context_preferred__sample_0025"", ""proto_sw_1_1__seed_1575422959__global_l1_flow_v3__density_simple__selected_l1_004__L1-Only__independent_l1__context_preferred__sample_0075"", ""proto_sw_1_1__seed_1575422959__global_l1_flow_v3__density_simple__selected_l1_003__L1-Only__independent_l1__context_preferred__sample_0050""]","{""selected_l1_001"": ""OPPOSED_L2_PAIR"", ""selected_l1_002"": ""L1_ONLY"", ""selected_l1_003"": ""L1_ONLY"", ""selected_l1_004"": ""L1_ONLY""}",102,0,1,0.001205099979415536,proto_sw_1_1__seed_1575422959__global_l1_flow_v3__density_simple,proto_sw_1_1__seed_1575422959__global_l1_flow_v3__density_simple__unit_candidates_v2,30b24d363cdf9b5b764266303fd00b9b37aa2e74673523b88dd749f74609cfc4
C002,proto_sw_1_1,expanded,simple,2,100016,MB-L2,LocalGreedy,1,,1,1,1,success,,"[""proto_sw_1_1__seed_1160898339__global_l1_flow_v3__density_simple__selected_l1_001__L1-Only__independent_l1__context_preferred__sample_0000"", ""proto_sw_1_1__seed_1160898339__global_l1_flow_v3__density_simple__selected_l1_002__L1-Only__independent_l1__context_preferred__sample_0025"", ""proto_sw_1_1__seed_1160898339__global_l1_flow_v3__density_simple__selected_l1_004__Y-C__balanced_s__context_opposed__sample_0079"", ""proto_sw_1_1__seed_1160898339__global_l1_flow_v3__density_simple__selected_l1_003__L1-Only__independent_l1__context_preferred__sample_0050""]","{""selected_l1_001"": ""L1_ONLY"", ""selected_l1_002"": ""L1_ONLY"", ""selected_l1_003"": ""L1_ONLY"", ""selected_l1_004"": ""SINGLE_L2_LEFT""}",4,0,1,0.0004984000697731972,proto_sw_1_1__seed_1160898339__global_l1_flow_v3__density_simple,proto_sw_1_1__seed_1160898339__global_l1_flow_v3__density_simple__unit_candidates_v2,83d949537c94ca3b6a8e2a6554c8eaa3435813aefe5af389910aff8d89c543a6
C002,proto_sw_1_1,expanded,simple,2,100016,MB-L2,LG+Count,1,,1,1,1,success,,"[""proto_sw_1_1__seed_1160898339__global_l1_flow_v3__density_simple__selected_l1_001__L1-Only__independent_l1__context_preferred__sample_0000"", ""proto_sw_1_1__seed_1160898339__global_l1_flow_v3__density_simple__selected_l1_002__L1-Only__independent_l1__context_preferred__sample_0025"", ""proto_sw_1_1__seed_1160898339__global_l1_flow_v3__density_simple__selected_l1_004__Y-C__balanced_s__context_opposed__sample_0079"", ""proto_sw_1_1__seed_1160898339__global_l1_flow_v3__density_simple__selected_l1_003__L1-Only__independent_l1__context_preferred__sample_0050""]","{""selected_l1_001"": ""L1_ONLY"", ""selected_l1_002"": ""L1_ONLY"", ""selected_l1_003"": ""L1_ONLY"", ""selected_l1_004"": ""SINGLE_L2_LEFT""}",4,0,1,0.00011240015737712383,proto_sw_1_1__seed_1160898339__global_l1_flow_v3__density_simple,proto_sw_1_1__seed_1160898339__global_l1_flow_v3__density_simple__unit_candidates_v2,83d949537c94ca3b6a8e2a6554c8eaa3435813aefe5af389910aff8d89c543a6
