case_id,prototype,inventory,intrinsic,eligible,pairs,conflict_fraction
C001,proto_sw_1_1,100,75,68,1621,0.0
C002,proto_sw_1_1,100,78,78,2141,0.0
C003,proto_sw_1_1,125,61,56,1154,0.0
C004,proto_sw_1_1,150,78,68,1804,0.028824833702882482
C005,proto_sw_1_1,150,104,104,4366,0.15254237288135594
C006,proto_sw_1_1,150,94,86,2998,0.04536357571714476
C007,proto_sw_1_1,100,40,40,471,0.0
C008,proto_sw_1_1,100,40,40,547,0.03290676416819013
C009,proto_sw_1_1,125,73,73,2053,0.0
C010,proto_sw_1_1,125,86,77,2294,0.006102877070619006
C011,proto_sw_1_1,150,100,100,4035,0.07534076827757125
C012,proto_sw_1_1,150,70,70,1889,0.10481736368448914
C013,proto_sw_1_1,100,83,75,2073,0.0
C014,proto_sw_1_1,100,66,66,1604,0.0
C015,proto_sw_1_1,150,83,83,2757,0.0
C016,proto_sw_1_1,125,70,70,1857,0.012924071082390954
C017,proto_sw_1_1,150,70,70,1873,0.0
C018,proto_sw_1_1,150,81,81,2617,0.0
C019,proto_sw_1_3,100,38,38,441,0.024943310657596373
C020,proto_sw_1_3,100,45,37,432,0.0
C021,proto_sw_1_3,125,67,67,1687,0.07172495554238292
C022,proto_sw_1_3,150,69,60,1385,0.0
C023,proto_sw_1_3,150,63,55,1175,0.0
C024,proto_sw_1_3,150,63,54,1103,0.04623753399818677
C025,proto_sw_1_3,100,45,45,716,0.0
C026,proto_sw_1_3,100,57,45,642,0.09034267912772585
C027,proto_sw_1_3,150,57,57,1213,0.028854080791426217
C028,proto_sw_1_3,150,71,71,2030,0.0980295566502463
C029,proto_sw_1_3,150,69,60,1375,0.0
C030,proto_sw_1_3,150,83,63,1529,0.2354480052321779
C031,proto_sw_1_3,100,45,43,623,0.0
C032,proto_sw_1_3,100,39,36,469,0.0
C033,proto_sw_1_3,125,58,58,1253,0.0023942537909018356
C034,proto_sw_1_3,125,71,57,1195,0.027615062761506277
C035,proto_sw_1_3,150,71,61,1476,0.1388888888888889
