case_id,source_case_id,prototype_id,backbone_variant,density_level,replicate,branch_seed_source,unit_seed_source,generation_success,independent_evaluation_success,mechanically_legal,target_total_l1_count,actual_total_l1_count,actual_ordinary_l1_count,target_selected_l2_count,actual_selected_l2_count,actual_upgraded_parent_count,targets_consumed_exactly,selected_root_set,per_root_l2_multiplicity,discrete_structural_signature,allocation_rule,backbone_seam_position_gap,backbone_seam_tangent_dot,backbone_seed,backbone_seed_source,branch_seed,branchunit_candidate_count,branchunit_count,branchunit_count_evaluated,case_dir,clearance_violation_count,conflict_edge_count,conflict_graph_runtime_seconds,cross_unit_crossing_count,density_resource_D,error_message,error_type,flower_region_intrusion_curve_count,flower_seed,flower_seed_source,hierarchy_l1_only_ratio,hierarchy_opposed_l2_ratio,hierarchy_single_l2_ratio,internal_unit_crossing_count,l1_candidate_count,l1_count,l1_layout_crossing_count,l1_layout_minimum_clearance,l1_layout_parallel_cotravel_peak,l1_layout_parallel_cotravel_total,l1_layout_periodic_crossing_count,l2_count,lower_allocation_ratio,matrix_id,mean_backbone_excursion,mechanical_evaluation_success,method,minimum_cross_unit_clearance,minimum_full_unit_clearance_required,occupied_area_ratio,ordinary_backbone_nonroot_crossing_count,ordinary_l1_count,ordinary_mean_length,ordinary_support_crossing_count,ordinary_total_length,pair_penalty_count,parallel_cotravel_peak,parallel_cotravel_total,periodic_crossing_count,periodic_seam_violation_count,production_seed,render_runtime_seconds,root_concentration,root_coverage_qcov,root_gap_max,root_gap_q25,root_gap_q50,root_gap_q75,root_hist_0,root_hist_1,root_hist_2,root_hist_3,root_hist_4,root_hist_5,root_hist_6,root_hist_7,rq_use,search_node_count,search_node_limit,search_node_limit_reached,selected_l1_only_count,selected_l2_count,selection_runtime_seconds,signature_ordinary_l1_count,signature_selected_l2_count,signature_upgraded_parent_count,stage3_runtime_seconds,stage4_runtime_seconds,total_runtime_seconds,unit_seed,upper_allocation_ratio,vertical_span
E11V2_B001,B001,proto_sw_1_1,expanded,medium,1,200000,200000,1,1,1,7,7,5,3,3,3,1,l1_pool_root_003;l1_pool_root_008;l1_pool_root_012;l1_pool_root_028;l1_pool_root_031,l1_pool_root_003:1;l1_pool_root_008:0;l1_pool_root_012:1;l1_pool_root_028:1;l1_pool_root_031:0,"[[""l1_pool_root_003"",1],[""l1_pool_root_008"",0],[""l1_pool_root_012"",1],[""l1_pool_root_028"",1],[""l1_pool_root_031"",0]]",backbone and flower domains fixed from seed 200000; branch and unit domains paired from seeds 200000-200009,0.0,0.9999999999999999,3637826449,200000,3848763323,125,5,5,raw_cases/E11V2_B001,0,0,0.5287853002082556,0,0.543309072,,,0,690874662,200000,0.4,0.0,0.6,0,980,5,0,0.05720101155097644,0.039685693421806736,0.039685693421806736,0,3,0.4,E11_FIXED_CONTROL_SEED_V2,0.07236422466350048,1,Ours,0.05719353905901097,0.027768053,0.01657300804093567,0,5,0.19648844372126834,0,1.5719075497701467,13,0.0,0.0,0,0,200000,0.024872400099411607,0.4,0.515151515,0.484848485,0.121212121,0.15151515100000001,0.151515152,0.2,0.0,0.4,0.0,0.0,0.0,0.2,0.2,E11_FIXED_CONTROL_SEED_V2,524,300000,0,2,3,0.006636700127273798,5,3,3,6.343345299828798,1.7465662998147309,8.663393500028178,2731574336,0.6,0.7672826319999999
E11V2_B002,B002,proto_sw_1_1,expanded,medium,2,200001,200001,1,1,1,7,7,5,3,3,3,1,l1_pool_root_001;l1_pool_root_004;l1_pool_root_007;l1_pool_root_010;l1_pool_root_030,l1_pool_root_001:1;l1_pool_root_004:1;l1_pool_root_007:0;l1_pool_root_010:1;l1_pool_root_030:0,"[[""l1_pool_root_001"",1],[""l1_pool_root_004"",1],[""l1_pool_root_007"",0],[""l1_pool_root_010"",1],[""l1_pool_root_030"",0]]",backbone and flower domains fixed from seed 200000; branch and unit domains paired from seeds 200000-200009,0.0,0.9999999999999999,3637826449,200000,157358250,125,5,5,raw_cases/E11V2_B002,0,69,2.017005299916491,0,0.502849987,,,0,690874662,200000,0.4,0.0,0.6,0,987,5,0,0.07940558131187175,0.0,0.0,0,3,0.4,E11_FIXED_CONTROL_SEED_V2,0.0883415006665959,1,Ours,0.07938148564336457,0.027768053,0.016458790204678362,0,5,0.1930683271439532,0,1.5445466171516256,149,0.0,0.0,0,0,200000,0.02754119993187487,0.4,0.393939394,0.606060606,0.090909091,0.09090909100000003,0.121212121,0.2,0.4,0.2,0.0,0.0,0.0,0.0,0.2,E11_FIXED_CONTROL_SEED_V2,1456,300000,0,2,3,0.01099240011535585,5,3,3,7.091330699855462,1.865629400126636,11.023901199921966,1522627173,0.6,0.860901236
E11V2_B003,B003,proto_sw_1_1,expanded,medium,3,200002,200002,1,1,1,7,7,5,3,3,3,1,l1_pool_root_002;l1_pool_root_005;l1_pool_root_010;l1_pool_root_013;l1_pool_root_030,l1_pool_root_002:0;l1_pool_root_005:0;l1_pool_root_010:1;l1_pool_root_013:1;l1_pool_root_030:1,"[[""l1_pool_root_002"",0],[""l1_pool_root_005"",0],[""l1_pool_root_010"",1],[""l1_pool_root_013"",1],[""l1_pool_root_030"",1]]",backbone and flower domains fixed from seed 200000; branch and unit domains paired from seeds 200000-200009,0.0,0.9999999999999999,3637826449,200000,3834742724,125,5,5,raw_cases/E11V2_B003,0,120,1.5982907998841256,0,0.434020514,,,0,690874662,200000,0.4,0.0,0.6,0,971,5,0,0.035997628681999246,0.008405950151442078,0.008405950151442078,0,3,0.4,E11_FIXED_CONTROL_SEED_V2,0.09228711150046451,1,Ours,0.036017888925862995,0.027768053,0.015430829678362573,0,5,0.16631606943954008,0,1.3305285555163204,127,0.0,0.0,0,0,200000,0.028446999844163656,0.2,0.4848484850000001,0.5151515149999999,0.090909091,0.15151515100000001,0.151515152,0.2,0.2,0.2,0.2,0.0,0.0,0.0,0.2,E11_FIXED_CONTROL_SEED_V2,323,300000,0,2,3,0.007911099819466472,5,3,3,6.5991106000728905,1.8112293998710811,10.058918799972162,1346423801,0.6,0.985239994
E11V2_B004,B004,proto_sw_1_1,expanded,medium,4,200003,200003,1,1,1,7,7,5,3,3,3,1,l1_pool_root_001;l1_pool_root_006;l1_pool_root_010;l1_pool_root_013;l1_pool_root_029,l1_pool_root_001:1;l1_pool_root_006:0;l1_pool_root_010:0;l1_pool_root_013:1;l1_pool_root_029:1,"[[""l1_pool_root_001"",1],[""l1_pool_root_006"",0],[""l1_pool_root_010"",0],[""l1_pool_root_013"",1],[""l1_pool_root_029"",1]]",backbone and flower domains fixed from seed 200000; branch and unit domains paired from seeds 200000-200009,0.0,0.9999999999999999,3637826449,200000,587951499,125,5,5,raw_cases/E11V2_B004,0,69,1.102506599854678,0,0.645001145,,,0,690874662,200000,0.4,0.0,0.6,0,994,5,0,0.04302457405664723,0.5595448996985818,0.5595448996985818,0,3,0.4,E11_FIXED_CONTROL_SEED_V2,0.0798417191719992,1,Ours,0.04300112226911637,0.027768053,0.022860699926900586,0,5,0.2095923493461834,0,1.6767387947694674,101,0.0,0.0,0,0,200000,0.031133899930864573,0.2,0.5151515150000001,0.48484848499999994,0.12121212100000003,0.15151515100000001,0.151515152,0.2,0.2,0.2,0.2,0.0,0.0,0.0,0.2,E11_FIXED_CONTROL_SEED_V2,1350,300000,0,2,3,0.010096400044858456,5,3,3,7.027745999861509,1.8298139998223633,10.013683299999684,654989446,0.6,1.0711214599999999
E11V2_B005,B005,proto_sw_1_1,expanded,medium,5,200004,200004,1,1,1,7,7,5,3,3,3,1,l1_pool_root_002;l1_pool_root_007;l1_pool_root_010;l1_pool_root_015;l1_pool_root_030,l1_pool_root_002:1;l1_pool_root_007:0;l1_pool_root_010:0;l1_pool_root_015:1;l1_pool_root_030:1,"[[""l1_pool_root_002"",1],[""l1_pool_root_007"",0],[""l1_pool_root_010"",0],[""l1_pool_root_015"",1],[""l1_pool_root_030"",1]]",backbone and flower domains fixed from seed 200000; branch and unit domains paired from seeds 200000-200009,0.0,0.9999999999999999,3637826449,200000,2403426353,125,5,5,raw_cases/E11V2_B005,0,150,2.937718000030145,0,0.485535868,,,0,690874662,200000,0.4,0.0,0.6,0,961,5,0,0.1151643997525868,0.0,0.0,0,3,0.4,E11_FIXED_CONTROL_SEED_V2,0.0898962903647246,1,Ours,0.07530980947192527,0.027768053,0.01738966557017544,0,5,0.18594272507823978,0,1.4875418006259182,138,0.0,0.0,0,0,200000,0.02013299986720085,0.2,0.545454546,0.45454545399999996,0.151515151,0.151515152,0.151515152,0.2,0.2,0.2,0.2,0.0,0.0,0.0,0.2,E11_FIXED_CONTROL_SEED_V2,201,300000,0,2,3,0.00330700003542006,5,3,3,7.357947999844328,1.8550695001613349,12.187888500047848,861773372,0.6,0.916047558
E11V2_B006,B006,proto_sw_1_1,expanded,medium,6,200005,200005,1,1,1,7,7,5,3,3,3,1,l1_pool_root_001;l1_pool_root_006;l1_pool_root_009;l1_pool_root_012;l1_pool_root_029,l1_pool_root_001:0;l1_pool_root_006:1;l1_pool_root_009:0;l1_pool_root_012:1;l1_pool_root_029:1,"[[""l1_pool_root_001"",0],[""l1_pool_root_006"",1],[""l1_pool_root_009"",0],[""l1_pool_root_012"",1],[""l1_pool_root_029"",1]]",backbone and flower domains fixed from seed 200000; branch and unit domains paired from seeds 200000-200009,0.0,0.9999999999999999,3637826449,200000,2083021513,125,5,5,raw_cases/E11V2_B006,0,38,1.0117395999841392,0,0.613784795,,,0,690874662,200000,0.4,0.0,0.6,0,979,5,0,0.07731404303287844,0.0,0.0,0,3,0.6,E11_FIXED_CONTROL_SEED_V2,0.09541236583552938,1,Ours,0.07736369052584079,0.027768053,0.01912577668128655,0,5,0.19739309341368416,0,1.5791447473094733,57,0.0,0.0,0,0,200000,0.020748900016769767,0.2,0.484848485,0.515151515,0.090909091,0.15151515100000001,0.151515152,0.2,0.2,0.2,0.2,0.0,0.0,0.0,0.2,E11_FIXED_CONTROL_SEED_V2,166,300000,0,2,3,0.0026933997869491577,5,3,3,6.758578399894759,1.8338500000536442,9.643006500089541,2157334348,0.4,0.8901067080000001
E11V2_B007,B007,proto_sw_1_1,expanded,medium,7,200006,200006,1,1,1,7,7,5,3,3,3,1,l1_pool_root_001;l1_pool_root_006;l1_pool_root_011;l1_pool_root_027;l1_pool_root_030,l1_pool_root_001:1;l1_pool_root_006:1;l1_pool_root_011:0;l1_pool_root_027:1;l1_pool_root_030:0,"[[""l1_pool_root_001"",1],[""l1_pool_root_006"",1],[""l1_pool_root_011"",0],[""l1_pool_root_027"",1],[""l1_pool_root_030"",0]]",backbone and flower domains fixed from seed 200000; branch and unit domains paired from seeds 200000-200009,0.0,0.9999999999999999,3637826449,200000,3840112982,125,5,5,raw_cases/E11V2_B007,0,199,3.1387953001540154,0,0.566917237,,,0,690874662,200000,0.4,0.0,0.6,0,978,5,0,0.08483966591556866,0.0,0.0,0,3,0.6,E11_FIXED_CONTROL_SEED_V2,0.10381185075830293,1,Ours,0.05818883149409944,0.027768053,0.01858324195906433,0,5,0.193236327215362,0,1.545890617722896,225,0.0,0.0,0,0,200000,0.026640600059181452,0.2,0.515151515,0.484848485,0.121212121,0.15151515100000001,0.151515152,0.2,0.2,0.2,0.0,0.0,0.0,0.2,0.2,E11_FIXED_CONTROL_SEED_V2,456,300000,0,2,3,0.004232499981299043,5,3,3,7.275471200002357,1.8237445999402553,12.281809100182727,671364729,0.4,1.090881869
E11V2_B008,B008,proto_sw_1_1,expanded,medium,8,200007,200007,1,1,1,7,7,5,3,3,3,1,l1_pool_root_001;l1_pool_root_006;l1_pool_root_010;l1_pool_root_027;l1_pool_root_030,l1_pool_root_001:0;l1_pool_root_006:1;l1_pool_root_010:1;l1_pool_root_027:0;l1_pool_root_030:1,"[[""l1_pool_root_001"",0],[""l1_pool_root_006"",1],[""l1_pool_root_010"",1],[""l1_pool_root_027"",0],[""l1_pool_root_030"",1]]",backbone and flower domains fixed from seed 200000; branch and unit domains paired from seeds 200000-200009,0.0,0.9999999999999999,3637826449,200000,3962232460,125,5,5,raw_cases/E11V2_B008,0,0,2.414434399921447,0,0.439742852,,,0,690874662,200000,0.4,0.0,0.6,0,993,5,0,0.139337472739391,0.0,0.0,0,3,0.6,E11_FIXED_CONTROL_SEED_V2,0.10453242958994637,1,Ours,0.139337472739391,0.027768053,0.01718407346491228,0,5,0.19417396091234923,0,1.5533916872987938,0,0.0,0.0,0,0,200000,0.020492299925535917,0.2,0.484848485,0.515151515,0.121212121,0.121212121,0.151515152,0.2,0.2,0.2,0.0,0.0,0.0,0.2,0.2,E11_FIXED_CONTROL_SEED_V2,439,300000,0,2,3,0.002429000101983547,5,3,3,6.665414599934593,1.8079737999942154,10.92287170002237,3148415715,0.4,0.983207524
E11V2_B009,B009,proto_sw_1_1,expanded,medium,9,200008,200008,1,1,1,7,7,5,3,3,3,1,l1_pool_root_001;l1_pool_root_006;l1_pool_root_009;l1_pool_root_013;l1_pool_root_029,l1_pool_root_001:0;l1_pool_root_006:1;l1_pool_root_009:1;l1_pool_root_013:1;l1_pool_root_029:0,"[[""l1_pool_root_001"",0],[""l1_pool_root_006"",1],[""l1_pool_root_009"",1],[""l1_pool_root_013"",1],[""l1_pool_root_029"",0]]",backbone and flower domains fixed from seed 200000; branch and unit domains paired from seeds 200000-200009,0.0,0.9999999999999999,3637826449,200000,3482159800,125,5,5,raw_cases/E11V2_B009,0,44,0.5563382001128048,0,0.601863059,,,0,690874662,200000,0.4,0.0,0.6,0,974,5,0,0.03408035942083471,0.3942547787306239,0.3942547787306239,0,3,0.4,E11_FIXED_CONTROL_SEED_V2,0.06304552953700837,1,Ours,0.03414277214952826,0.027768053,0.02176420869883041,0,5,0.2032856069191124,0,1.626284855352899,73,0.012080848809625254,0.012080848809625254,0,0,200000,0.019203099887818098,0.2,0.515151515,0.484848485,0.121212121,0.15151515100000001,0.151515152,0.2,0.2,0.2,0.2,0.0,0.0,0.0,0.2,E11_FIXED_CONTROL_SEED_V2,177,300000,0,2,3,0.0019024000503122807,5,3,3,6.92707320000045,1.876169899944216,9.394069700036198,1542305865,0.6,0.703106476
E11V2_B010,B010,proto_sw_1_1,expanded,medium,10,200009,200009,1,1,1,7,7,5,3,3,3,1,l1_pool_root_003;l1_pool_root_008;l1_pool_root_011;l1_pool_root_014;l1_pool_root_030,l1_pool_root_003:1;l1_pool_root_008:0;l1_pool_root_011:0;l1_pool_root_014:1;l1_pool_root_030:1,"[[""l1_pool_root_003"",1],[""l1_pool_root_008"",0],[""l1_pool_root_011"",0],[""l1_pool_root_014"",1],[""l1_pool_root_030"",1]]",backbone and flower domains fixed from seed 200000; branch and unit domains paired from seeds 200000-200009,0.0,0.9999999999999999,3637826449,200000,3911812596,125,5,5,raw_cases/E11V2_B010,0,48,2.6055358999874443,0,0.449664248,,,0,690874662,200000,0.4,0.0,0.6,0,933,5,0,0.06698083668160436,0.0,0.0,0,3,0.6,E11_FIXED_CONTROL_SEED_V2,0.08847581529296712,1,Ours,0.06688988284459682,0.027768053,0.020073784722222224,0,5,0.19184678191933874,0,1.53477425535471,240,0.0,0.0,0,0,200000,0.01781459990888834,0.2,0.5151515150000001,0.48484848499999994,0.090909091,0.151515152,0.181818182,0.2,0.2,0.2,0.2,0.0,0.0,0.0,0.2,E11_FIXED_CONTROL_SEED_V2,566,300000,0,2,3,0.004029599949717522,5,3,3,6.341246000025421,1.845569800119847,10.828954299911857,1265668154,0.4,0.925320841
E11V2_B011,B011,proto_sw_1_3,expanded,medium,1,200000,200000,1,1,1,7,7,5,3,3,3,1,l1_pool_root_002;l1_pool_root_007;l1_pool_root_026;l1_pool_root_029;l1_pool_root_032,l1_pool_root_002:1;l1_pool_root_007:1;l1_pool_root_026:0;l1_pool_root_029:0;l1_pool_root_032:1,"[[""l1_pool_root_002"",1],[""l1_pool_root_007"",1],[""l1_pool_root_026"",0],[""l1_pool_root_029"",0],[""l1_pool_root_032"",1]]",backbone and flower domains fixed from seed 200000; branch and unit domains paired from seeds 200000-200009,0.0,1.0,3637826449,200000,3848763323,125,5,5,raw_cases/E11V2_B011,0,0,0.503398299915716,0,0.470493666,,,0,690874662,200000,0.4,0.0,0.6,0,822,5,0,0.0985879745058604,0.0,0.0,0,3,0.4,E11_FIXED_CONTROL_SEED_V2,0.08316360813494185,1,Ours,0.09855453186316053,0.041459216,0.023151955409356724,0,5,0.16412033258015507,0,1.3129626606412406,0,0.0,0.0,0,0,200000,0.0178205999545753,0.4,0.424242424,0.575757576,0.090909091,0.090909091,0.151515151,0.2,0.2,0.0,0.0,0.0,0.0,0.2,0.4,E11_FIXED_CONTROL_SEED_V2,143,300000,0,2,3,0.0022416000720113516,5,3,3,16.4882490998134,1.7910018998663872,18.816425200086087,2731574336,0.6,0.8430739620000001
E11V2_B012,B012,proto_sw_1_3,expanded,medium,2,200001,200001,1,1,1,7,7,5,3,3,3,1,l1_pool_root_002;l1_pool_root_007;l1_pool_root_025;l1_pool_root_028;l1_pool_root_032,l1_pool_root_002:1;l1_pool_root_007:1;l1_pool_root_025:1;l1_pool_root_028:0;l1_pool_root_032:0,"[[""l1_pool_root_002"",1],[""l1_pool_root_007"",1],[""l1_pool_root_025"",1],[""l1_pool_root_028"",0],[""l1_pool_root_032"",0]]",backbone and flower domains fixed from seed 200000; branch and unit domains paired from seeds 200000-200009,0.0,1.0,3637826449,200000,157358250,125,5,5,raw_cases/E11V2_B012,0,103,0.44639239995740354,0,0.428115526,,,0,690874662,200000,0.4,0.0,0.6,0,856,5,0,0.04495388551237922,0.0,0.0,0,3,0.4,E11_FIXED_CONTROL_SEED_V2,0.08206465236891353,1,Ours,0.04495388551237922,0.041459216,0.020690561038011698,0,5,0.14600609095640765,0,1.168048727651261,64,0.0,0.0,0,0,200000,0.01746500004082918,0.2,0.454545454,0.545454546,0.090909091,0.121212121,0.151515151,0.2,0.2,0.0,0.0,0.0,0.2,0.2,0.2,E11_FIXED_CONTROL_SEED_V2,1207,300000,0,2,3,0.0039357999339699745,5,3,3,10.999335099942982,1.7807811999227852,13.263055900111794,1522627173,0.6,0.65634725
E11V2_B013,B013,proto_sw_1_3,expanded,medium,3,200002,200002,1,1,1,7,7,5,3,3,3,1,l1_pool_root_003;l1_pool_root_007;l1_pool_root_025;l1_pool_root_028;l1_pool_root_032,l1_pool_root_003:0;l1_pool_root_007:1;l1_pool_root_025:0;l1_pool_root_028:1;l1_pool_root_032:1,"[[""l1_pool_root_003"",0],[""l1_pool_root_007"",1],[""l1_pool_root_025"",0],[""l1_pool_root_028"",1],[""l1_pool_root_032"",1]]",backbone and flower domains fixed from seed 200000; branch and unit domains paired from seeds 200000-200009,0.0,1.0,3637826449,200000,3834742724,125,5,5,raw_cases/E11V2_B013,0,54,0.7241482001263648,0,0.596449651,,,0,690874662,200000,0.4,0.0,0.6,0,858,5,0,0.11076768082403293,0.0,0.0,0,3,0.6,E11_FIXED_CONTROL_SEED_V2,0.0803324674867083,1,Ours,0.08527072753070426,0.041459216,0.019268548976608187,0,5,0.1903423932870945,0,1.5227391462967559,0,0.0,0.0,0,0,200000,0.020309600047767162,0.2,0.454545454,0.545454546,0.12121212099999999,0.121212121,0.121212121,0.2,0.2,0.0,0.0,0.0,0.2,0.2,0.2,E11_FIXED_CONTROL_SEED_V2,138,300000,0,2,3,0.001864599995315075,5,3,3,9.859211000148207,1.8322064001113176,12.449091300135478,1346423801,0.4,0.7039622919999999
E11V2_B014,B014,proto_sw_1_3,expanded,medium,4,200003,200003,1,1,1,7,7,5,3,3,3,1,l1_pool_root_002;l1_pool_root_007;l1_pool_root_024;l1_pool_root_028;l1_pool_root_031,l1_pool_root_002:1;l1_pool_root_007:1;l1_pool_root_024:0;l1_pool_root_028:1;l1_pool_root_031:0,"[[""l1_pool_root_002"",1],[""l1_pool_root_007"",1],[""l1_pool_root_024"",0],[""l1_pool_root_028"",1],[""l1_pool_root_031"",0]]",backbone and flower domains fixed from seed 200000; branch and unit domains paired from seeds 200000-200009,0.0,1.0,3637826449,200000,587951499,125,5,5,raw_cases/E11V2_B014,0,90,0.6843939002137631,0,0.670739145,,,0,690874662,200000,0.4,0.0,0.6,0,819,5,0,0.05085040459119912,0.20745148646879819,0.20745148646879819,0,3,0.4,E11_FIXED_CONTROL_SEED_V2,0.08721188819981046,1,Ours,0.04913963162344266,0.041459216,0.02645285087719298,0,5,0.18871933048800174,0,1.509754643904014,121,0.00010801866384209911,0.00010801866384209911,0,0,200000,0.022322600008919835,0.2,0.4848484850000001,0.5151515149999999,0.121212121,0.12121212200000009,0.15151515100000001,0.2,0.2,0.0,0.0,0.0,0.2,0.2,0.2,E11_FIXED_CONTROL_SEED_V2,1213,300000,0,2,3,0.00410120002925396,5,3,3,11.869101900141686,1.7557103999424726,14.3491869000718,654989446,0.6,0.8914256269999999
