pair_id,case_id,asset_id,prototype,structure_image,render_image,prompt_file,generation_route,returned_model_id,attempt,started_at,finished_at
sw1-A-01,E11V2_B002,E11V2_B002,SW1-A,structures/sw1-A-01.png,renderings/sw1-A-01.png,prompts/author_prompt_v1.txt,builtin_image_gen,,1,2026-09-19T18:56:08.544239+08:00,2026-09-19T18:57:44.149140+08:00
sw1-B-01,E11V2_B014,E11V2_B014,SW1-B,structures/sw1-B-01.png,renderings/sw1-B-01.png,prompts/author_prompt_v1.txt,builtin_image_gen,,1,2026-09-19T18:59:40.833696+08:00,2026-09-19T19:02:01.865040+08:00
sw1-C-01,E11V2_B052,E11V2_B052,SW1-C,structures/sw1-C-01.png,renderings/sw1-C-01.png,prompts/author_prompt_v1.txt,builtin_image_gen,,1,2026-09-19T19:02:38.444083+08:00,2026-09-19T19:24:24.081059+08:00
sw2-A-01,E11V2_B024,E11V2_B024,SW2-A,structures/sw2-A-01.png,renderings/sw2-A-01.png,prompts/author_prompt_v1.txt,builtin_image_gen,,1,2026-09-19T19:24:39.936366+08:00,2026-09-19T19:25:20.061005+08:00
sw3-A-01,E11V2_B032,E11V2_B032,SW3-A,structures/sw3-A-01.png,renderings/sw3-A-01.png,prompts/author_prompt_v1.txt,builtin_image_gen,,1,2026-09-19T19:25:35.374487+08:00,2026-09-19T19:26:20.777200+08:00
sw3-B-01,E11V2_B043,E11V2_B043,SW3-B,structures/sw3-B-01.png,renderings/sw3-B-01.png,prompts/author_prompt_v1.txt,builtin_image_gen,,1,2026-09-19T19:26:42.509778+08:00,2026-09-19T19:27:29.368611+08:00
sw1-A-02,E10V2_A037,E10V2_A037,SW1-A,structures/sw1-A-02.png,renderings/sw1-A-02.png,prompts/author_prompt_v1.txt,builtin_image_gen,,1,2026-09-19T19:27:58.923142+08:00,2026-09-19T19:29:35.296649+08:00
sw1-B-02,E10V2_A127,E10V2_A127,SW1-B,structures/sw1-B-02.png,renderings/sw1-B-02.png,prompts/author_prompt_v1.txt,builtin_image_gen,,1,2026-09-19T19:27:59.121694+08:00,2026-09-19T19:29:35.573786+08:00
sw1-C-02,E10V2_A478,E10V2_A478,SW1-C,structures/sw1-C-02.png,renderings/sw1-C-02.png,prompts/author_prompt_v1.txt,builtin_image_gen,,1,2026-09-19T19:29:57.153242+08:00,2026-09-19T19:31:35.654436+08:00
sw2-A-02,E10V2_A199,E10V2_A199,SW2-A,structures/sw2-A-02.png,renderings/sw2-A-02.png,prompts/author_prompt_v1.txt,builtin_image_gen,,1,2026-09-19T19:29:57.360493+08:00,2026-09-19T19:31:35.930496+08:00
