source_id,annotation_id,svg,paths,ellipses,circles,removed_images
R001,1,role_annotations/R001.svg,13,1,0,1
R002,2,role_annotations/R002.svg,10,2,0,1
R003,3,role_annotations/R003.svg,11,0,0,1
R004,4,role_annotations/R004.svg,41,3,1,1
R005,5,role_annotations/R005.svg,9,1,0,1
R006,6,role_annotations/R006.svg,37,0,0,1
R007,7,role_annotations/R007.svg,27,1,0,1
R008,8,role_annotations/R008.svg,32,2,0,1
R009,9,role_annotations/R009.svg,13,1,0,1
R010,10,role_annotations/R010.svg,14,1,0,1
R011,11,role_annotations/R011.svg,9,1,0,1
R012,12,role_annotations/R012.svg,22,2,0,1
R013,13,role_annotations/R013.svg,10,2,0,1
R014,14,role_annotations/R014.svg,10,1,0,1
R015,15,role_annotations/R015.svg,27,1,0,1
R016,16,role_annotations/R016.svg,10,1,0,1
R017,17,role_annotations/R017.svg,6,1,0,1
R018,18,role_annotations/R018.svg,12,2,0,1
R019,19,role_annotations/R019.svg,8,1,0,1
R020,20,role_annotations/R020.svg,6,0,0,1
R021,21,role_annotations/R021.svg,9,2,0,1
R022,22,role_annotations/R022.svg,8,0,0,1
R023,23,role_annotations/R023.svg,10,1,0,1
R024,24,role_annotations/R024.svg,5,2,0,1
R025,25,role_annotations/R025.svg,17,2,0,1
R026,26,role_annotations/R026.svg,8,1,0,1
R027,27,role_annotations/R027.svg,9,2,0,1
R028,28,role_annotations/R028.svg,3,2,0,1
R029,29,role_annotations/R029.svg,7,0,0,1
R030,30,role_annotations/R030.svg,6,0,0,1
R031,31,role_annotations/R031.svg,17,0,0,1
R032,32,role_annotations/R032.svg,8,0,0,1
R033,33,role_annotations/R033.svg,3,2,0,1
R034,34,role_annotations/R034.svg,3,2,0,1
R035,35,role_annotations/R035.svg,3,2,0,1
R036,36,role_annotations/R036.svg,6,2,0,1
R037,37,role_annotations/R037.svg,9,0,0,1
R038,38,role_annotations/R038.svg,6,2,0,1
R039,39,role_annotations/R039.svg,12,2,0,1
R040,40,role_annotations/R040.svg,5,2,0,1
R041,41,role_annotations/R041.svg,15,4,0,1
R042,42,role_annotations/R042.svg,5,4,0,1
R043,43,role_annotations/R043.svg,8,0,0,1
R045,45,role_annotations/R045.svg,14,2,0,1
R046,46,role_annotations/R046.svg,4,2,0,1
R047,47,role_annotations/R047.svg,10,2,0,1
R048,48,role_annotations/R048.svg,9,3,0,1
R049,49,role_annotations/R049.svg,11,2,0,1
R050,50,role_annotations/R050.svg,9,1,0,1
R051,51,role_annotations/R051.svg,9,1,0,1
R052,52,role_annotations/R052.svg,7,2,0,1
R053,53,role_annotations/R053.svg,7,1,0,1
R054,54,role_annotations/R054.svg,12,1,0,1
R055,55,role_annotations/R055.svg,4,2,0,1
R056,56,role_annotations/R056.svg,6,2,0,1
R057,57,role_annotations/R057.svg,6,2,0,1
R058,58,role_annotations/R058.svg,8,2,0,1
R059,59,role_annotations/R059.svg,7,2,0,1
R060,60,role_annotations/R060.svg,7,2,0,1
R061,61,role_annotations/R061.svg,12,2,0,1
R062,62,role_annotations/R062.svg,16,2,0,1
R063,63,role_annotations/R063.svg,8,2,0,1
R064,64,role_annotations/R064.svg,22,2,0,1
R065,65,role_annotations/R065.svg,15,2,0,1
R066,66,role_annotations/R066.svg,4,2,0,1
R067,67,role_annotations/R067.svg,3,2,0,1
R068,68,role_annotations/R068.svg,21,2,0,1
R069,69,role_annotations/R069.svg,5,2,0,1
R070,70,role_annotations/R070.svg,12,2,0,1
R071,71,role_annotations/R071.svg,7,1,0,1
R072,72,role_annotations/R072.svg,17,2,0,1
R073,73,role_annotations/R073.svg,6,2,0,1
R074,74,role_annotations/R074.svg,3,2,0,1
R075,75,role_annotations/R075.svg,8,2,0,1
R076,76,role_annotations/R076.svg,7,2,0,1
R077,77,role_annotations/R077.svg,8,2,0,1
R078,78,role_annotations/R078.svg,6,2,0,1
R079,79,role_annotations/R079.svg,5,2,0,1
R080,80,role_annotations/R080.svg,9,2,0,1
R081,81,role_annotations/R081.svg,9,2,0,1
R082,82,role_annotations/R082.svg,9,2,0,1
R083,83,role_annotations/R083.svg,5,2,0,1
R084,84,role_annotations/R084.svg,10,2,0,1
R085,85,role_annotations/R085.svg,6,1,0,1
R086,86,role_annotations/R086.svg,7,2,0,1
R087,87,role_annotations/R087.svg,8,2,0,1
R088,88,role_annotations/R088.svg,12,0,0,1
R089,89,role_annotations/R089.svg,9,2,0,1
R090,90,role_annotations/R090.svg,4,3,0,1
R091,91,role_annotations/R091.svg,13,2,0,1
R092,92,role_annotations/R092.svg,19,1,0,1
R093,93,role_annotations/R093.svg,6,2,0,1
R094,94,role_annotations/R094.svg,9,3,0,1
R095,95,role_annotations/R095.svg,14,2,0,1
R096,96,role_annotations/R096.svg,7,2,0,1
R097,97,role_annotations/R097.svg,9,0,0,1
R098,98,role_annotations/R098.svg,7,0,0,1
R099,99,role_annotations/R099.svg,10,0,1,1
R100,100,role_annotations/R100.svg,6,1,0,1
R101,101,role_annotations/R101.svg,9,1,0,1
R103,103,role_annotations/R103.svg,6,1,0,1
R104,104,role_annotations/R104.svg,9,1,0,1
R105,105,role_annotations/R105.svg,9,1,0,1
R106,106,role_annotations/R106.svg,6,2,0,1
R107,107,role_annotations/R107.svg,5,2,0,1
R108,108,role_annotations/R108.svg,25,1,0,1
R109,109,role_annotations/R109.svg,2,1,0,1
R110,110,role_annotations/R110.svg,2,1,0,1
R111,111,role_annotations/R111.svg,11,2,0,1
R112,112,role_annotations/R112.svg,17,2,0,1
R113,113,role_annotations/R113.svg,6,0,0,1
R114,114,role_annotations/R114.svg,12,0,0,1
R115,115,role_annotations/R115.svg,4,2,0,1
R116,116,role_annotations/R116.svg,19,3,0,1
R117,117,role_annotations/R117.svg,37,0,0,1
R118,118,role_annotations/R118.svg,26,3,0,1
R119,119,role_annotations/R119.svg,19,5,0,1
R120,120,role_annotations/R120.svg,28,2,0,1
